Season,League,Team,Player,Nation,Pos,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2022-2023,EPL,Manchester Utd,Anthony Martial,FRA,FW,26.0,0.0,0.0,0.0,8.0,14.0,7.0,4.0,1.0,3.0,1.0,0.0,0.0,20.0,10.0,17.0,37.0
2022-2023,EPL,Manchester Utd,Scott McTominay,SCO,MF,25.0,8.0,0.0,0.0,28.0,16.0,0.0,4.0,14.0,19.0,0.0,1.0,0.0,78.0,34.0,23.0,59.6
2022-2023,EPL,Manchester Utd,Wout Weghorst,NED,"FW,MF",29.0,1.0,0.0,0.0,14.0,9.0,5.0,0.0,7.0,5.0,0.0,0.0,0.0,34.0,15.0,25.0,37.5
2022-2023,EPL,Manchester Utd,Harry Maguire,ENG,DF,29.0,4.0,0.0,0.0,8.0,4.0,0.0,1.0,13.0,6.0,0.0,0.0,0.0,55.0,25.0,22.0,53.2
2022-2023,EPL,Manchester Utd,Marcel Sabitzer,AUT,MF,28.0,1.0,0.0,0.0,8.0,10.0,1.0,4.0,8.0,8.0,0.0,0.0,0.0,52.0,13.0,11.0,54.2
2022-2023,EPL,Manchester Utd,Alejandro Garnacho,ARG,"FW,MF",18.0,3.0,0.0,0.0,8.0,8.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,28.0,3.0,10.0,23.1
2022-2023,EPL,Manchester Utd,Anthony Elanga,SWE,FW,20.0,0.0,0.0,0.0,3.0,7.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,17.0,8.0,11.0,42.1
2022-2023,EPL,Manchester Utd,Cristiano Ronaldo,POR,FW,37.0,2.0,0.0,0.0,7.0,5.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,12.0,15.0,8.0,65.2
2022-2023,EPL,Manchester Utd,Donny van de Beek,NED,MF,25.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,50.0
2022-2023,EPL,Manchester Utd,Facundo Pellistri,URU,"FW,MF",20.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
2022-2023,EPL,Manchester Utd,Kobbie Mainoo,ENG,MF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,Newcastle Utd,Kieran Trippier,ENG,DF,31.0,5.0,0.0,0.0,48.0,29.0,7.0,393.0,43.0,49.0,0.0,1.0,1.0,264.0,49.0,35.0,58.3
2022-2023,EPL,Newcastle Utd,Nick Pope,ENG,GK,30.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,1.0,80.0
2022-2023,EPL,Newcastle Utd,Fabian Schär,SUI,DF,30.0,7.0,0.0,0.0,20.0,27.0,6.0,18.0,52.0,22.0,0.0,0.0,1.0,209.0,112.0,55.0,67.1
2022-2023,EPL,Newcastle Utd,Sven Botman,NED,DF,22.0,2.0,0.0,0.0,15.0,12.0,2.0,1.0,34.0,24.0,0.0,1.0,0.0,182.0,75.0,40.0,65.2
2022-2023,EPL,Newcastle Utd,Dan Burn,ENG,DF,30.0,5.0,0.0,0.0,35.0,4.0,7.0,17.0,32.0,38.0,0.0,1.0,0.0,166.0,84.0,37.0,69.4
2022-2023,EPL,Newcastle Utd,Bruno Guimarães,BRA,MF,24.0,7.0,0.0,0.0,45.0,83.0,1.0,22.0,36.0,40.0,0.0,0.0,0.0,233.0,19.0,13.0,59.4
2022-2023,EPL,Newcastle Utd,Joe Willock,ENG,MF,22.0,1.0,0.0,0.0,35.0,23.0,3.0,51.0,25.0,30.0,0.0,0.0,0.0,136.0,16.0,16.0,50.0
2022-2023,EPL,Newcastle Utd,Joelinton,BRA,"MF,FW",25.0,12.0,0.0,0.0,65.0,34.0,1.0,16.0,48.0,49.0,1.0,1.0,0.0,198.0,66.0,59.0,52.8
2022-2023,EPL,Newcastle Utd,Miguel Almirón,PAR,FW,28.0,2.0,0.0,0.0,22.0,33.0,9.0,26.0,10.0,30.0,0.0,0.0,0.0,139.0,6.0,10.0,37.5
2022-2023,EPL,Newcastle Utd,Sean Longstaff,ENG,MF,24.0,2.0,0.0,0.0,29.0,39.0,5.0,30.0,16.0,21.0,0.0,0.0,0.0,141.0,23.0,28.0,45.1
2022-2023,EPL,Newcastle Utd,Callum Wilson,ENG,FW,30.0,4.0,0.0,0.0,21.0,31.0,15.0,6.0,1.0,3.0,0.0,0.0,0.0,39.0,21.0,48.0,30.4
2022-2023,EPL,Newcastle Utd,Alexander Isak,SWE,FW,22.0,3.0,0.0,0.0,19.0,15.0,5.0,7.0,4.0,8.0,1.0,1.0,0.0,38.0,22.0,28.0,44.0
2022-2023,EPL,Newcastle Utd,Jacob Murphy,ENG,FW,27.0,0.0,0.0,0.0,8.0,14.0,2.0,53.0,7.0,7.0,0.0,0.0,0.0,69.0,3.0,11.0,21.4
2022-2023,EPL,Newcastle Utd,Allan Saint-Maximin,FRA,FW,25.0,1.0,0.0,0.0,6.0,16.0,2.0,32.0,5.0,3.0,0.0,0.0,0.0,69.0,2.0,2.0,50.0
2022-2023,EPL,Newcastle Utd,Matt Targett,ENG,DF,26.0,1.0,0.0,0.0,10.0,3.0,0.0,34.0,9.0,10.0,0.0,0.0,0.0,46.0,11.0,7.0,61.1
2022-2023,EPL,Newcastle Utd,Anthony Gordon,ENG,"FW,MF",21.0,1.0,0.0,0.0,7.0,8.0,1.0,9.0,2.0,12.0,0.0,0.0,0.0,25.0,0.0,3.0,0.0
2022-2023,EPL,Newcastle Utd,Chris Wood,NZL,FW,30.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,17.0,23.0,23.0,50.0
