Season,League,Team,Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
2022-2023,EPL,Tottenham,Fraser Forster,ENG,GK,34.0,14.0,13.0,1215.0,13.5,24.0,1.78,55.0,30.0,60.0,5.0,3.0,5.0,3.0,23.1,3.0,2.0,1.0,0.0,33.3
2022-2023,EPL,Brentford,David Raya,ESP,GK,26.0,38.0,38.0,3420.0,38.0,46.0,1.21,197.0,154.0,77.7,15.0,14.0,9.0,12.0,31.6,2.0,2.0,0.0,0.0,0.0
2022-2023,EPL,Fulham,Bernd Leno,GER,GK,30.0,36.0,36.0,3240.0,36.0,51.0,1.42,192.0,142.0,77.1,15.0,5.0,16.0,8.0,22.2,8.0,7.0,1.0,0.0,12.5
2022-2023,EPL,Fulham,Marek Rodák,SVK,GK,25.0,2.0,2.0,180.0,2.0,2.0,1.0,4.0,2.0,50.0,0.0,2.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,Crystal Palace,Vicente Guaita,ESP,GK,35.0,27.0,27.0,2430.0,27.0,34.0,1.26,116.0,84.0,72.4,7.0,9.0,11.0,6.0,22.2,2.0,2.0,0.0,0.0,0.0
2022-2023,EPL,Crystal Palace,Sam Johnstone,ENG,GK,29.0,9.0,9.0,810.0,9.0,10.0,1.11,34.0,25.0,76.5,4.0,3.0,2.0,3.0,33.3,2.0,2.0,0.0,0.0,0.0
2022-2023,EPL,Crystal Palace,Joseph Whitworth,ENG,GK,18.0,2.0,2.0,180.0,2.0,5.0,2.5,10.0,5.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,Chelsea,Kepa Arrizabalaga,ESP,GK,27.0,29.0,29.0,2565.0,28.5,33.0,1.16,120.0,90.0,73.3,8.0,9.0,12.0,9.0,31.0,1.0,1.0,0.0,0.0,0.0
2022-2023,EPL,Chelsea,Edouard Mendy,SEN,GK,30.0,10.0,9.0,855.0,9.5,14.0,1.47,39.0,25.0,64.1,3.0,2.0,4.0,1.0,11.1,0.0,0.0,0.0,0.0,
2022-2023,EPL,Wolves,José Sá,POR,GK,29.0,36.0,36.0,3240.0,36.0,55.0,1.53,161.0,105.0,67.1,11.0,7.0,18.0,11.0,30.6,4.0,2.0,2.0,0.0,50.0
2022-2023,EPL,Wolves,Daniel Bentley,ENG,GK,29.0,2.0,2.0,180.0,2.0,3.0,1.5,13.0,10.0,76.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,West Ham,Łukasz Fabiański,POL,GK,37.0,36.0,36.0,3111.0,34.6,48.0,1.39,154.0,106.0,70.1,11.0,6.0,19.0,8.0,22.2,4.0,2.0,1.0,1.0,33.3
2022-2023,EPL,West Ham,Alphonse Areola,FRA,GK,29.0,5.0,2.0,309.0,3.4,7.0,2.04,16.0,9.0,68.8,0.0,1.0,1.0,1.0,50.0,2.0,2.0,0.0,0.0,0.0
2022-2023,EPL,Bournemouth,Neto,BRA,GK,33.0,27.0,27.0,2385.0,26.5,39.0,1.47,138.0,100.0,74.6,9.0,6.0,12.0,6.0,22.2,5.0,4.0,0.0,1.0,0.0
2022-2023,EPL,Bournemouth,Mark Travers,IRL,GK,23.0,12.0,11.0,1035.0,11.5,32.0,2.78,66.0,36.0,54.5,2.0,0.0,9.0,2.0,18.2,2.0,2.0,0.0,0.0,0.0
2022-2023,EPL,Nott'ham Forest,Dean Henderson,ENG,GK,25.0,18.0,18.0,1620.0,18.0,31.0,1.72,85.0,52.0,65.9,5.0,5.0,8.0,6.0,33.3,5.0,2.0,2.0,1.0,50.0
2022-2023,EPL,Nott'ham Forest,Keylor Navas,CRC,GK,35.0,17.0,17.0,1529.0,17.0,32.0,1.88,83.0,51.0,66.3,4.0,4.0,9.0,1.0,5.9,4.0,4.0,0.0,0.0,0.0
2022-2023,EPL,Nott'ham Forest,Wayne Hennessey,WAL,GK,35.0,4.0,3.0,271.0,3.0,5.0,1.66,14.0,9.0,64.3,0.0,2.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,
2022-2023,EPL,Everton,Jordan Pickford,ENG,GK,28.0,37.0,37.0,3330.0,37.0,57.0,1.54,181.0,123.0,71.3,7.0,12.0,18.0,8.0,21.6,6.0,5.0,1.0,0.0,16.7
2022-2023,EPL,Everton,Asmir Begović,BIH,GK,35.0,1.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,Leicester City,Danny Ward,WAL,GK,29.0,26.0,26.0,2340.0,26.0,46.0,1.77,119.0,75.0,63.0,7.0,3.0,16.0,6.0,23.1,3.0,2.0,1.0,0.0,33.3
2022-2023,EPL,Leicester City,Daniel Iversen,DEN,GK,25.0,12.0,12.0,1080.0,12.0,22.0,1.83,59.0,38.0,66.1,2.0,4.0,6.0,1.0,8.3,2.0,2.0,0.0,0.0,0.0
2022-2023,EPL,Leeds United,Illan Meslier,FRA,GK,22.0,34.0,34.0,3060.0,34.0,67.0,1.97,158.0,92.0,59.5,7.0,9.0,18.0,5.0,14.7,3.0,3.0,0.0,0.0,0.0
2022-2023,EPL,Leeds United,Joel Robles,ESP,GK,32.0,4.0,4.0,360.0,4.0,11.0,2.75,27.0,16.0,66.7,0.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0
2022-2023,EPL,Southampton,Gavin Bazunu,IRL,GK,20.0,32.0,32.0,2880.0,32.0,56.0,1.75,120.0,67.0,54.2,6.0,6.0,20.0,4.0,12.5,2.0,1.0,1.0,0.0,50.0
2022-2023,EPL,Southampton,Alex McCarthy,ENG,GK,32.0,6.0,6.0,540.0,6.0,17.0,2.83,30.0,14.0,46.7,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
