player,goals,goals_penalty,shots_total,shots_on_target,shots_avg_distance,shots_in_penalty_area,shots_in_goal_area,shots_in_attacking_third,shots_long_distance,shots_mid_distance,shots_short_distance,goal_volley,goals_avg_distance,goal_half_volley,goal_normal,goals_header,goals_header_%,shots_on_target_%,shot_conversion_%,shot_conversion_on_target_%,up_shot_conversion_%,up_shots_on_target_%,shots_inside_the_box_%,shots_outside_the_box_%,goals_right_foot_%,goals_left_foot_%,goals_with_first_touch_%,big_chance_conversion_%,goals_outside_penalty_area_%,goals_inside_penalty_area_%
Ermin Bičakčić,0,0,3,1,5.524868317008456,3,0,0,0,1,2,0,0.0,0,0,0,,0.333,0.0,0.0,0.0,0.333,0.0,1.0,,,,,inf,
Eugen Polanski,0,0,7,4,16.351313068183273,2,0,0,2,3,2,0,0.0,0,0,0,,0.571,0.0,0.0,0.0,0.571,0.0,1.0,,,,,inf,
Fabian Frei,0,0,3,1,8.480712172076947,2,0,0,0,2,1,0,0.0,0,0,0,,0.333,0.0,0.0,0.0,0.333,0.0,1.0,,,,,inf,
Fabian Holland,0,0,2,1,23.736168829603496,1,0,0,1,1,0,0,0.0,0,0,0,,0.5,0.0,0.0,0.0,0.5,0.0,1.0,,,,,inf,
Fabian Johnson,3,0,7,6,9.74019868548199,5,1,1,0,3,4,0,12.652070324298952,1,2,0,0.0,0.857,0.429,0.5,0.429,0.857,0.0,1.0,0.667,0.333,0.667,1.0,2.333,0.0
Fabian Lukas Schär,1,0,4,2,20.064034714575268,2,0,0,2,2,0,0,12.120231020900551,0,1,1,1.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.0,0.0,0.0,,4.0,0.0
Fabian Lustenberger,0,0,5,2,12.036128769883883,4,1,1,1,1,3,0,0.0,0,0,0,,0.4,0.0,0.0,0.0,0.4,0.0,1.0,,,,,inf,
Felix Klaus,0,0,4,3,7.868427396841857,2,1,1,0,2,2,0,0.0,0,0,0,,0.75,0.0,0.0,0.0,0.75,0.0,1.0,,,,,inf,
Felix Kroos,0,0,2,0,22.17464684285719,1,0,0,1,1,0,0,0.0,0,0,0,,0.0,0.0,,0.0,0.0,0.0,1.0,,,,,inf,
Filip Kostić,2,0,8,5,14.821634471393175,6,0,0,1,5,2,0,14.680849447120078,0,2,0,0.0,0.625,0.25,0.4,0.25,0.625,0.0,1.0,0.0,1.0,0.0,,4.0,0.0
Filip Mladenović,0,0,4,2,19.760169689703744,2,0,0,2,0,2,0,0.0,0,0,0,,0.5,0.0,0.0,0.0,0.5,0.0,1.0,,,,,inf,
Fin Bartels,3,0,12,10,13.735983524975516,10,0,0,2,5,5,0,15.08616323488193,1,2,0,0.0,0.833,0.25,0.3,0.25,0.833,0.0,1.0,0.667,0.333,0.0,1.0,4.0,0.0
Florian Grillitsch,1,0,6,6,7.598168610895994,2,0,0,1,1,4,0,24.052026941611388,1,0,0,0.0,1.0,0.167,0.167,0.167,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0
Florian Jungwirth,0,0,3,2,10.473093557521361,3,0,0,0,2,1,0,0.0,0,0,0,,0.667,0.0,0.0,0.0,0.667,0.0,1.0,,,,,inf,
Florian Klein,0,0,2,2,15.755644302959249,1,0,0,1,0,1,0,0.0,0,0,0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,inf,
Franck Bilal Ribéry,0,0,2,1,8.792570368558293,2,0,0,0,1,1,0,0.0,0,0,0,,0.5,0.0,0.0,0.0,0.5,0.0,1.0,,,,,inf,
Franco Matías Di Santo,2,0,15,8,13.148571663258616,11,1,1,4,3,8,0,10.018182558202376,0,2,2,1.0,0.533,0.133,0.25,0.133,0.533,0.0,1.0,0.0,0.0,0.0,,7.5,0.0
Frederik Hillesborg Sørensen,0,0,1,1,11.416216536138405,1,0,0,0,1,0,0,0.0,0,0,0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,inf,
Gaëtan Bussmann,0,0,4,1,14.854622225303551,3,0,0,1,2,1,0,0.0,0,0,0,,0.25,0.0,0.0,0.0,0.25,0.0,1.0,,,,,inf,
Genki Haraguchi,1,0,10,6,13.77364658427534,5,1,1,3,3,4,1,10.860018416190648,0,0,0,0.0,0.6,0.1,0.167,0.1,0.6,0.0,1.0,1.0,0.0,1.0,,10.0,0.0
Georg Niedermeier,1,0,3,2,7.52333678323939,3,0,0,0,0,3,0,7.762087348130006,0,1,1,1.0,0.667,0.333,0.5,0.333,0.667,0.0,1.0,0.0,0.0,0.0,,3.0,0.0
Gideon Jung,0,0,5,3,9.09894024776739,2,1,1,1,0,4,0,0.0,0,0,0,,0.6,0.0,0.0,0.0,0.6,0.0,1.0,,,,,inf,
Gonzalo Castro Randon,0,0,3,1,23.55859440716849,1,0,0,2,1,0,0,0.0,0,0,0,,0.333,0.0,0.0,0.0,0.333,0.0,1.0,,,,,inf,
Gotoku Sakai,0,0,3,1,17.828716357793894,2,0,0,1,2,0,0,0.0,0,0,0,,0.333,0.0,0.0,0.0,0.333,0.0,1.0,,,,,inf,
Granit Xhaka,0,0,10,4,12.620603409788545,4,1,1,3,2,5,0,0.0,0,0,0,,0.4,0.0,0.0,0.0,0.4,0.0,1.0,,,,,inf,
Gustavo Adrián Ramos Vásquez,4,0,15,12,7.230498151145979,12,2,2,0,6,9,1,9.654346463567455,1,2,1,0.25,0.8,0.267,0.333,0.267,0.8,0.0,1.0,0.5,0.25,0.5,0.5,3.75,0.0
György Garics,0,0,1,1,4.924428900898052,1,0,0,0,0,1,0,0.0,0,0,0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,inf,
Hakan Çalhanoğlu,1,0,13,11,11.205049781447435,6,0,0,4,2,7,0,24.900803199896984,0,1,0,0.0,0.846,0.077,0.091,0.077,0.846,0.0,1.0,1.0,0.0,0.0,,13.0,0.0
Halil Altıntop,0,0,5,2,12.67267452416333,4,0,0,0,4,1,0,0.0,0,0,0,,0.4,0.0,0.0,0.0,0.4,0.0,1.0,,,,,inf,
Haris Seferović,1,0,31,17,11.923093166038894,21,2,2,7,6,18,0,21.224985276791124,0,1,0,0.0,0.548,0.032,0.059,0.032,0.548,0.0,1.0,0.0,1.0,1.0,0.0,31.0,0.0
Henrikh Mkhitaryan,1,0,15,10,12.862187787454863,9,1,1,5,4,6,0,15.220052562327107,0,1,0,0.0,0.667,0.067,0.1,0.067,0.667,0.0,1.0,0.0,1.0,0.0,0.0,15.0,0.0
