player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,positions_played
Charlison Benschop,Curaçao,Hannover 96,Center Forward,9.0,359.0,7.0,2.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Center Forward', 'Right Attacking Midfield', 'Left Wing', 'Right Midfield']"
Christian Clemens,Germany,FSV Mainz 05,Right Wing,28.0,1736.0,8.0,12.0,"['Right Wing', 'Center Attacking Midfield', 'Right Wing Back', 'Right Attacking Midfield', 'Left Wing', 'Right Midfield']"
Christian Gentner,Germany,VfB Stuttgart,Left Defensive Midfield,29.0,2489.0,0.0,5.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Christian Mathenia,Germany,Darmstadt 98,Goalkeeper,33.0,2970.0,0.0,0.0,['Goalkeeper']
Christian Pulisic,United States of America,Borussia Dortmund,Left Wing,9.0,398.0,5.0,3.0,"['Left Center Midfield', 'Right Wing', 'Right Center Midfield', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Wing Back', 'Left Wing', 'Right Midfield', 'Left Center Back']"
Christian Schulz,Germany,Hannover 96,Left Center Back,25.0,2126.0,1.0,2.0,"['Center Defensive Midfield', 'Left Wing', 'Left Center Back']"
Christian Träsch,Germany,Wolfsburg,Right Back,29.0,2085.0,6.0,8.0,"['Right Wing', 'Left Center Midfield', 'Right Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield']"
Christofer Heimeroth,Germany,Borussia Mönchengladbach,0,0.0,0.0,0.0,0.0,[]
Christoph Janker,Germany,Augsburg,Right Defensive Midfield,12.0,397.0,9.0,2.0,"['Right Wing', 'Center Forward', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Christoph Kramer,Germany,Bayer Leverkusen,Right Defensive Midfield,28.0,2397.0,0.0,3.0,"['Left Center Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Left Center Back']"
