player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,positions_played
Przemysław Tytoń,Poland,VfB Stuttgart,Goalkeeper,30.0,2700.0,0.0,0.0,"['Goalkeeper', 'Center Attacking Midfield']"
Raffael Caetano de Araújo,Brazil,Borussia Mönchengladbach,Left Center Forward,31.0,2678.0,1.0,12.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Right Attacking Midfield', 'Left Wing']"
Ragnar Klavan,Estonia,Augsburg,Left Center Back,31.0,2786.0,0.0,1.0,['Left Center Back']
Ralf Fährmann,Germany,Schalke 04,Goalkeeper,34.0,3059.0,0.0,1.0,['Goalkeeper']
Ramazan Özcan,Austria,Ingolstadt,Goalkeeper,28.0,2520.0,0.0,0.0,['Goalkeeper']
Raúl Marcelo Bobadilla,Paraguay,Augsburg,Center Forward,27.0,1883.0,8.0,11.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
René Adler,Germany,Hamburger SV,Goalkeeper,24.0,2109.0,0.0,1.0,"['Goalkeeper', 'Center Attacking Midfield']"
Ricardo Iván Rodríguez Araya,Switzerland,Wolfsburg,Left Back,24.0,2069.0,1.0,1.0,['Left Back']
Robbie Kruse,Australia,VfB Stuttgart,Right Wing,12.0,476.0,10.0,1.0,"['Right Wing', 'Center Attacking Midfield', 'Left Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Robert Bauer,Germany,Ingolstadt,Left Back,24.0,1700.0,6.0,2.0,"['Left Center Midfield', 'Left Back', 'Right Back', 'Left Wing', 'Right Center Midfield', 'Center Forward', 'Center Defensive Midfield']"
Robert Lewandowski,Poland,Bayern Munich,Center Forward,32.0,2657.0,3.0,3.0,"['Left Center Midfield', 'Right Center Forward', 'Center Forward', 'Right Wing Back', 'Left Center Forward']"
Roberto Hilbert,Germany,Bayer Leverkusen,Right Back,12.0,783.0,3.0,4.0,['Right Back']
Robin Knoche,Germany,Wolfsburg,Right Center Back,11.0,821.0,2.0,1.0,"['Right Defensive Midfield', 'Left Center Back', 'Right Center Back']"
Robin Zentner,Germany,FSV Mainz 05,0,0.0,0.0,0.0,0.0,[]
Roel Brouwers,Netherlands,Borussia Mönchengladbach,Right Center Back,8.0,298.0,5.0,1.0,"['Right Center Forward', 'Right Center Midfield', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back']"
Roger de Oliveira Bernardo,Brazil,Ingolstadt,Center Defensive Midfield,29.0,2503.0,1.0,2.0,"['Left Center Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Romain Brégerie,France,Ingolstadt,Center Defensive Midfield,22.0,1151.0,10.0,2.0,"['Left Center Midfield', 'Center Defensive Midfield', 'Right Wing', 'Left Back', 'Center Attacking Midfield', 'Center Forward', 'Right Center Back', 'Right Defensive Midfield', 'Left Wing', 'Left Center Back']"
Roman Bürki,Switzerland,Borussia Dortmund,Goalkeeper,33.0,2970.0,0.0,0.0,['Goalkeeper']
Roman Neustädter,Russia,Schalke 04,Left Center Back,30.0,2399.0,4.0,4.0,"['Right Center Forward', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Roman Weidenfeller,Germany,Borussia Dortmund,Goalkeeper,1.0,90.0,0.0,0.0,['Goalkeeper']
Ron-Robert Zieler,Germany,Hannover 96,Goalkeeper,34.0,3060.0,0.0,0.0,['Goalkeeper']
Ronaldo Aparecido Rodrigues,Brazil,Wolfsburg,Right Center Back,29.0,2595.0,0.0,1.0,"['Center Forward', 'Right Center Back']"
Ronny Heberson Furtado de Araújo,Brazil,Hertha Berlin,"['Right Wing', 'Center Forward']",1.0,32.0,1.0,0.0,"['Right Wing', 'Center Forward']"
Roy Beerens,Netherlands,Hertha Berlin,Right Midfield,2.0,134.0,0.0,1.0,"['Right Midfield', 'Center Attacking Midfield']"
Rune Almenning Jarstein,Norway,Hertha Berlin,Goalkeeper,29.0,2566.0,1.0,0.0,['Goalkeeper']
Russell Canouse,United States of America,Hoffenheim,Center Defensive Midfield,1.0,28.0,1.0,0.0,['Center Defensive Midfield']
Salif Sané,Senegal,Hannover 96,Left Defensive Midfield,31.0,2755.0,1.0,1.0,"['Right Center Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Salomon Armand Magloire Kalou,Côte d'Ivoire,Hertha Berlin,Left Wing,32.0,2526.0,2.0,20.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Sambou Yatabaré,Mali,Werder Bremen,Right Wing,8.0,492.0,2.0,5.0,"['Right Wing', 'Right Center Midfield', 'Right Attacking Midfield', 'Left Wing', 'Right Midfield']"
Sandro Sirigu,Germany,Darmstadt 98,Right Midfield,6.0,135.0,5.0,1.0,"['Right Wing', 'Center Attacking Midfield', 'Right Back', 'Right Wing Back', 'Right Defensive Midfield', 'Right Midfield']"
Sandro Wagner,Germany,Darmstadt 98,Center Forward,32.0,2501.0,5.0,5.0,"['Center Attacking Midfield', 'Right Center Forward', 'Center Forward', 'Left Center Forward']"
Santiago García,Argentina,Werder Bremen,Left Back,29.0,2460.0,0.0,9.0,"['Left Wing Back', 'Left Back', 'Left Center Back']"
Sascha Burchert,Germany,Hertha Berlin,0,0.0,0.0,0.0,0.0,[]
Sascha Mölders,Germany,Augsburg,Right Defensive Midfield,4.0,39.0,4.0,0.0,"['Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing']"
Sascha Riether,Germany,Schalke 04,Right Back,17.0,1343.0,3.0,0.0,"['Right Wing', 'Right Back', 'Right Wing Back', 'Right Center Back', 'Right Defensive Midfield']"
Sead Kolašinac,Bosnia and Herzegovina,Schalke 04,Left Back,23.0,1583.0,5.0,3.0,"['Left Back', 'Center Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Left Wing Back', 'Left Center Back']"
Sebastian Boenisch,Poland,Bayer Leverkusen,Left Back,8.0,621.0,1.0,1.0,"['Left Back', 'Center Attacking Midfield', 'Right Back', 'Left Center Back']"
Sebastian Jung,Germany,Wolfsburg,Right Back,11.0,542.0,6.0,0.0,"['Right Center Forward', 'Right Back', 'Right Center Midfield', 'Right Wing Back', 'Left Midfield', 'Right Defensive Midfield', 'Right Midfield']"
Sebastian Langkamp,Germany,Hertha Berlin,Right Center Back,22.0,1878.0,0.0,2.0,['Right Center Back']
Sebastian Rode,Germany,Bayern Munich,Right Center Midfield,15.0,428.0,12.0,1.0,"['Left Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield', 'Left Center Back']"
Sebastian Rudy,Germany,Hoffenheim,Right Defensive Midfield,24.0,1833.0,2.0,10.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Back', 'Right Center Midfield', 'Right Wing Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield']"
Sebastian Stolze,Germany,Wolfsburg,0,0.0,0.0,0.0,0.0,[]
Serdar Taşçı,Germany,Bayern Munich,Left Center Back,3.0,218.0,0.0,2.0,"['Center Back', 'Left Center Back']"
Sereso Geoffroy Gonzaroua Dié,Côte d'Ivoire,VfB Stuttgart,Center Defensive Midfield,23.0,1818.0,0.0,11.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Seung-Woo Ryu,Korea (South),Bayer Leverkusen,0,0.0,0.0,0.0,0.0,[]
Shawn Parker,Germany,Augsburg,0,0.0,0.0,0.0,0.0,[]
Shinji Kagawa,Japan,Borussia Dortmund,Center Attacking Midfield,29.0,2169.0,3.0,12.0,"['Left Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Wing']"
Sidney Sam,Germany,Schalke 04,Center Attacking Midfield,2.0,21.0,2.0,0.0,"['Left Center Midfield', 'Center Attacking Midfield']"
Simon Zoller,Germany,FC Köln,Right Midfield,24.0,1244.0,10.0,11.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Wing Back', 'Left Center Forward', 'Right Attacking Midfield', 'Left Wing', 'Right Midfield']"
Slobodan Medojević,Serbia,Eintracht Frankfurt,"['Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield']",14.0,619.0,8.0,2.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Center Back', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Slobodan Rajković,Serbia,Darmstadt 98,Left Center Back,15.0,1016.0,3.0,1.0,"['Left Back', 'Right Center Back', 'Left Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Center Back']"
Sokratis Papastathopoulos,Greece,Borussia Dortmund,Right Center Back,25.0,2124.0,2.0,1.0,"['Right Back', 'Center Back', 'Left Center Back', 'Right Center Back']"
Sonny Kittel,Germany,Eintracht Frankfurt,Left Wing,8.0,293.0,7.0,1.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Wing', 'Right Midfield']"
Stefan Aigner,Germany,Eintracht Frankfurt,Right Wing,31.0,2408.0,4.0,14.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Stefan Bell,Germany,FSV Mainz 05,Left Center Back,30.0,2637.0,1.0,0.0,"['Center Back', 'Left Center Back', 'Right Center Back']"
Stefan Kießling,Germany,Bayer Leverkusen,Left Center Forward,30.0,1927.0,11.0,5.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Stefan Lex,Germany,Ingolstadt,Right Wing,21.0,910.0,12.0,6.0,"['Right Wing', 'Left Wing', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Center Defensive Midfield', 'Right Midfield']"
Stefan Reinartz,Germany,Eintracht Frankfurt,Left Defensive Midfield,15.0,1202.0,1.0,2.0,"['Left Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Stefan Wannenwetsch,Germany,Ingolstadt,"['Left Center Midfield', 'Center Forward']",1.0,38.0,1.0,0.0,"['Left Center Midfield', 'Center Forward']"
Steven Zuber,Switzerland,Hoffenheim,Left Midfield,12.0,592.0,6.0,3.0,"['Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Right Center Back', 'Left Midfield', 'Left Attacking Midfield', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
Suat Serdar,Germany,FSV Mainz 05,Center Attacking Midfield,12.0,231.0,10.0,2.0,"['Right Wing', 'Center Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield']"
Sven Bender,Germany,Borussia Dortmund,Right Center Back,19.0,1265.0,5.0,3.0,"['Right Wing', 'Center Attacking Midfield', 'Right Back', 'Left Wing', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Sven Schipplock,Germany,Hamburger SV,Center Forward,20.0,961.0,11.0,6.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing']"
Sven Ulreich,Germany,Bayern Munich,Goalkeeper,1.0,40.0,1.0,0.0,['Goalkeeper']
Szabolcs Huszti,Hungary,Eintracht Frankfurt,Left Defensive Midfield,15.0,1181.0,1.0,5.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing']"
Takashi Inui,Japan,Eintracht Frankfurt,Left Midfield,1.0,45.0,0.0,1.0,['Left Midfield']
Tarik Elyounoussi,Norway,Hoffenheim,Right Midfield,6.0,427.0,1.0,2.0,"['Left Center Midfield', 'Left Back', 'Center Forward', 'Left Midfield', 'Left Wing Back', 'Right Midfield']"
Theodor Gebre Selassie,Czech Republic,Werder Bremen,Right Back,33.0,2959.0,0.0,1.0,"['Right Wing Back', 'Right Back', 'Right Center Back']"
Thiago Alcântara do Nascimento,Spain,Bayern Munich,Left Center Midfield,27.0,1663.0,11.0,5.0,"['Left Center Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Thilo Kehrer,Germany,Schalke 04,Right Defensive Midfield,1.0,2.0,1.0,0.0,['Right Defensive Midfield']
Thomas Blomeyer,Germany,Ingolstadt,0,0.0,0.0,0.0,0.0,[]
Thomas Kessler,Germany,FC Köln,Goalkeeper,1.0,90.0,0.0,0.0,['Goalkeeper']
Thomas Kraft,Germany,Hertha Berlin,Goalkeeper,6.0,495.0,0.0,1.0,['Goalkeeper']
Thomas Müller,Germany,Bayern Munich,Center Attacking Midfield,31.0,2352.0,5.0,10.0,"['Right Wing', 'Left Center Midfield', 'Left Back', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Right Wing Back', 'Right Attacking Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Thomas Pledl,Germany,Ingolstadt,0,0.0,0.0,0.0,0.0,[]
Thorgan Hazard,Belgium,Borussia Mönchengladbach,Left Midfield,29.0,1667.0,10.0,14.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
Tim Dierßen,Germany,Hannover 96,Center Attacking Midfield,1.0,20.0,1.0,0.0,['Center Attacking Midfield']
Tim Matavž,Slovenia,Augsburg,Center Forward,11.0,389.0,8.0,0.0,"['Right Defensive Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Center Forward']"
Tim Rieder,Germany,Augsburg,0,0.0,0.0,0.0,0.0,[]
Timm Klose,Switzerland,Wolfsburg,Left Center Back,8.0,636.0,1.0,0.0,"['Left Center Forward', 'Center Back', 'Left Center Back']"
Timo Baumgartl,Germany,VfB Stuttgart,Left Center Back,19.0,1552.0,2.0,1.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Center Back', 'Right Center Back', 'Left Center Back']"
Timo Horn,Germany,FC Köln,Goalkeeper,33.0,2970.0,0.0,0.0,['Goalkeeper']
Timo Werner,Germany,VfB Stuttgart,Center Forward,33.0,2201.0,7.0,15.0,"['Left Center Midfield', 'Right Wing', 'Left Back', 'Right Center Forward', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Midfield']"
Timothy Chandler,United States of America,Eintracht Frankfurt,Right Back,12.0,681.0,7.0,1.0,"['Right Wing', 'Right Center Forward', 'Right Back', 'Right Wing Back', 'Right Center Back', 'Left Midfield', 'Left Wing', 'Right Midfield']"
Tin Jedvaj,Croatia,Bayer Leverkusen,Right Back,15.0,959.0,4.0,5.0,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Right Back', 'Right Center Back']"
Tino Dehmelt,Germany,Hamburger SV,0,0.0,0.0,0.0,0.0,[]
Tobias Kempe,Germany,Darmstadt 98,Left Midfield,31.0,1353.0,22.0,7.0,"['Right Wing', 'Left Back', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Tobias Levels,Germany,Ingolstadt,Right Back,16.0,1440.0,0.0,0.0,"['Left Back', 'Right Back']"
Tobias Sippel,Germany,Borussia Mönchengladbach,Goalkeeper,2.0,180.0,0.0,0.0,['Goalkeeper']
Tobias Strobl,Germany,Hoffenheim,Left Defensive Midfield,26.0,2089.0,4.0,2.0,"['Left Center Midfield', 'Left Back', 'Right Center Forward', 'Right Back', 'Right Center Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield', 'Left Center Back']"
Tobias Werner,Germany,Augsburg,Left Wing,13.0,719.0,6.0,3.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing', 'Right Midfield']"
Todor Nedelev,Bulgaria,FSV Mainz 05,0,0.0,0.0,0.0,0.0,[]
Tohouri Zahoui Constant Djakpa,Côte d'Ivoire,Eintracht Frankfurt,Left Back,12.0,762.0,4.0,1.0,"['Left Center Midfield', 'Left Back', 'Center Forward', 'Left Midfield', 'Left Wing', 'Left Wing Back']"
Tolga Ciğerci,Turkey,Hertha Berlin,Left Defensive Midfield,18.0,1041.0,5.0,10.0,"['Left Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Tom Mickel,Germany,Hamburger SV,Goalkeeper,1.0,90.0,0.0,0.0,['Goalkeeper']
Tom Starke,Germany,Bayern Munich,0,0.0,0.0,0.0,0.0,[]
Tomáš Pekhart,Czech Republic,Ingolstadt,Center Forward,4.0,94.0,3.0,1.0,"['Left Center Midfield', 'Center Forward', 'Left Center Forward']"
Toni Šunjić,Bosnia and Herzegovina,VfB Stuttgart,Right Center Back,19.0,1382.0,2.0,4.0,"['Center Attacking Midfield', 'Center Back', 'Right Center Back', 'Left Midfield', 'Right Defensive Midfield', 'Left Center Back']"
Tony Jantschke,Germany,Borussia Mönchengladbach,Left Center Back,12.0,753.0,4.0,2.0,"['Right Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back']"
Uffe Manich Bech,Denmark,Hannover 96,Right Wing,11.0,687.0,3.0,5.0,"['Right Wing', 'Center Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Wing', 'Right Midfield']"
Uilson de Souza Paula Júnior,Brazil,Schalke 04,Right Back,23.0,1853.0,1.0,5.0,"['Right Wing', 'Right Wing Back', 'Right Back', 'Right Center Back']"
Ulisses Alexandre Garcia Lopes,Switzerland,Werder Bremen,"['Left Back', 'Left Center Midfield']",11.0,598.0,4.0,4.0,"['Left Center Midfield', 'Left Defensive Midfield', 'Left Back', 'Left Midfield']"
Valentin Stocker,Switzerland,Hertha Berlin,"['Left Wing', 'Left Midfield']",22.0,857.0,12.0,8.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing', 'Right Midfield']"
Valmir Sulejmani,Kosovo,Hannover 96,Right Wing,4.0,127.0,3.0,1.0,"['Right Wing', 'Left Wing', 'Right Center Forward', 'Left Center Midfield']"
Vedad Ibišević,Bosnia and Herzegovina,Hertha Berlin,Center Forward,26.0,2165.0,1.0,7.0,"['Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Center Forward', 'Right Midfield']"
Vladimír Darida,Czech Republic,Hertha Berlin,Center Attacking Midfield,31.0,2588.0,1.0,12.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield']"
Vladlen Yurchenko,Ukraine,Bayer Leverkusen,Left Defensive Midfield,7.0,300.0,4.0,3.0,"['Right Center Forward', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Václav Kadlec,Czech Republic,Eintracht Frankfurt,Center Attacking Midfield,5.0,119.0,3.0,2.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Center Forward', 'Right Defensive Midfield']"
Waldemar Anton,Germany,Hannover 96,Right Center Back,8.0,585.0,2.0,1.0,"['Right Wing', 'Right Center Forward', 'Right Center Back', 'Right Defensive Midfield', 'Left Center Back']"
Wendell Nascimento Borges,Brazil,Bayer Leverkusen,Left Back,28.0,2411.0,2.0,2.0,"['Left Back', 'Center Attacking Midfield', 'Right Back']"
Xabier Alonso Olano,Spain,Bayern Munich,Center Defensive Midfield,26.0,1952.0,3.0,7.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Yann Sommer,Switzerland,Borussia Mönchengladbach,Goalkeeper,32.0,2880.0,0.0,0.0,['Goalkeeper']
Yanni Regäsel,Germany,Eintracht Frankfurt,Right Back,16.0,1279.0,2.0,1.0,"['Right Wing Back', 'Center Attacking Midfield', 'Right Back', 'Right Center Back']"
Yannick Gerhardt,Germany,FC Köln,Left Defensive Midfield,29.0,1905.0,7.0,9.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
Yannick Joschka Zummack,Germany,Eintracht Frankfurt,0,0.0,0.0,0.0,0.0,[]
Yannik Oettl,Germany,Augsburg,0,0.0,0.0,0.0,0.0,[]
Yoshinori Muto,Japan,FSV Mainz 05,Center Forward,20.0,1492.0,2.0,13.0,"['Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing']"
Younès Belhanda,Morocco,Schalke 04,Center Attacking Midfield,15.0,828.0,7.0,4.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Yunus Mallı,Turkey,FSV Mainz 05,Center Attacking Midfield,34.0,2787.0,1.0,19.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Right Midfield']"
Yūya Ōsako,Japan,FC Köln,Center Attacking Midfield,25.0,1374.0,11.0,7.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Left Wing', 'Right Midfield', 'Left Center Back']"
Zlatko Junuzović,Austria,Werder Bremen,Center Attacking Midfield,30.0,2370.0,4.0,7.0,"['Left Center Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Right Center Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Zoltán Stieber,Hungary,Hamburger SV,"['Left Wing', 'Right Wing']",2.0,10.0,2.0,0.0,"['Right Wing', 'Left Wing']"
Ádám Szalai,Hungary,Hannover 96,Right Center Forward,16.0,819.0,9.0,1.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Center Forward', 'Right Midfield']"
Álvaro Domínguez Soto,Spain,Borussia Mönchengladbach,Left Center Back,6.0,478.0,1.0,0.0,"['Right Defensive Midfield', 'Left Center Back']"
Änis Ben-Hatira,Tunisia,Eintracht Frankfurt,Left Wing,9.0,608.0,2.0,5.0,"['Left Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Center Back']"
Ömer Toprak,Turkey,Bayer Leverkusen,Left Center Back,19.0,1412.0,2.0,6.0,"['Center Forward', 'Center Back', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Özkan Yıldırım,Germany,Werder Bremen,Right Wing,1.0,18.0,1.0,0.0,['Right Wing']
Ørjan Håskjold Nyland,Norway,Ingolstadt,Goalkeeper,6.0,540.0,0.0,0.0,['Goalkeeper']
İlkay Gündoğan,Germany,Borussia Dortmund,Right Center Midfield,25.0,1997.0,3.0,7.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Łukasz Piszczek,Poland,Borussia Dortmund,Right Back,20.0,1533.0,4.0,1.0,"['Left Back', 'Right Back', 'Center Forward', 'Right Wing Back', 'Right Center Back', 'Right Defensive Midfield']"
Łukasz Załuska,Poland,Darmstadt 98,Goalkeeper,1.0,90.0,0.0,0.0,['Goalkeeper']
