,player,pass_accuracy,up_pass_accuracy,pass_accuracy_progressive,up_pass_accuracy_progressive,pass_accuracy_backward,pass_horizontal_backward,up_pass_accuracy_backward,pass_accuracy_into_box,pass_accuracy_into_box,up_pass_accuracy_into_box,pass_accuaracy_short,pass_accuaracy_medium,pass_accuaracy_long,pass_accuracy_within_attacking_third,up_pass_accuracy_within_attacking_third,pass_progressive_lead_to_shot_%,pass_progressive_lead_to_goal_%,pass_mean_distance,pass_accuracy_cuts_last_line_of_defence,passes_from_attacking_third,passes_from_middle_third,passes_from_defending_third,passes_from_the_box,passes_into_attacking_third,passes_into_box,passes_into_box_completed,passes_into_goal_area,passes_into_edge_of_the_box,passes_within_attacking_third,passes_within_attacking_third_completed,passes_total_distance,passes_short_total,passes_short_completed,passes_medium_completed,passes_medium_total,passes_long_total,passes_long_completed,passes_shot_assist,passes_goal_assist,passes_switch,passes_cross,passes_cut_back,passes_vertical_into_edge_of_the_box,passes_vertical_into_the_box,passes_horizontal_into_the_box,passes_horizontal_into_edge_of_the_box,passes_cut_back_into_edge_of_the_box,passes_high_vertical_into_edge_of_the_box,passes_high_vertical_into_the_box,passes_low_vertical_into_edge_of_the_box,passes_low_vertical_into_the_box,passes_high_horizontal_into_the_box,passes_high_horizontal_into_edge_of_the_box,passes_low_horizontal_into_the_box,passes_low_horizontal_into_edge_of_the_box,passes_progressive,passes_progressive_completed,passes_horizontal,passes_backward,passes_backward_completed,passes_long_vertical,passes_long_vertical_from_defending_third,passes_long_vertical_from_mid_third,passes_long_vertical_from_mid_third_into_the_box,key_passes
33,Artem Kravets,0.678,0.529,0.458,0.321,0.853,1.0,0.719,0.364,0.364,0.2,0.756,0.738,0.25,0.51,0.292,0.056,0.014,14.208,,64,112,4,6,71,11,4,3,8,51,26,2557.46866137,82,62,45,61,12,3,4,1,1,6,0,2,6,2,4,0,0,2,1,3,1,1,1,2,72,33,25,75,64,5,5,4,1,5
34,Artoms Rudņevs,0.613,0.588,0.42,0.385,0.82,1.0,0.812,0.154,0.154,0.0,0.756,0.465,0.438,0.508,0.45,0.058,0.014,15.429,,69,86,8,3,87,13,2,1,11,63,32,2514.9771152000003,86,65,20,43,16,7,4,1,4,7,1,3,6,4,5,1,0,1,2,3,1,1,2,3,69,29,21,61,50,6,6,3,0,5
35,Artur Sobiech,0.716,0.579,0.545,0.328,0.866,1.0,0.768,0.364,0.364,0.0,0.75,0.65,0.65,0.695,0.64,0.114,0.0,12.709,2.5,150,246,19,21,176,11,4,2,10,131,91,5274.4375947,236,177,67,103,20,13,20,0,3,6,1,1,3,1,5,1,0,0,1,3,0,1,1,3,176,96,65,157,136,6,6,6,0,20
36,Arturo Erasmo Vidal Pardo,0.899,0.844,0.812,0.65,0.965,1.0,0.968,0.436,0.436,0.375,0.922,0.932,0.81,0.788,0.75,0.053,0.006,19.695,2.0,504,1293,230,22,611,78,34,6,58,400,315,39921.834544,761,702,820,880,326,264,42,5,66,21,2,20,33,10,8,0,11,16,6,13,6,7,3,1,789,641,541,663,640,64,64,45,10,47
37,Assani Lukimya-Mulongoti,0.7,0.653,0.585,0.567,0.979,1.0,1.0,0.071,0.071,,0.841,0.757,0.557,0.5,0.75,0.004,0.0,27.943,inf,15,208,157,2,90,14,1,0,5,14,7,10618.3349725,88,74,112,148,140,78,1,0,23,0,0,5,14,0,0,0,5,13,0,0,0,0,0,0,270,158,61,48,47,91,91,51,10,1
38,Aytac Sulu,0.57,0.564,0.475,0.507,0.955,1.0,0.8,0.35,0.35,0.5,0.745,0.665,0.429,0.571,0.357,0.022,0.0,30.461,1.0,22,316,230,12,193,40,14,5,24,21,12,17301.627493699998,106,79,135,203,245,105,10,0,31,0,0,20,39,0,4,0,20,39,0,0,0,2,0,0,446,212,48,67,64,186,186,131,36,10
39,Bas Dost,0.781,0.667,0.562,0.491,0.944,1.0,0.857,0.125,0.125,0.0,0.821,0.779,0.714,0.677,0.594,0.069,0.014,15.114,1.0,111,269,18,18,136,8,1,5,10,96,65,6015.490742,196,161,120,154,21,15,10,2,4,4,0,2,4,0,4,0,2,4,0,0,0,3,0,0,144,81,63,177,167,3,3,2,0,12
40,Bastian Oczipka,0.76,0.662,0.661,0.547,0.972,1.0,0.946,0.314,0.314,0.143,0.892,0.792,0.432,0.619,0.528,0.024,0.0,18.36,inf,439,813,404,12,536,140,44,28,100,391,242,30403.601258,719,641,505,638,229,99,22,0,35,69,1,6,16,30,19,1,6,12,0,3,21,17,6,1,922,609,200,463,450,99,99,39,6,22
41,Benedikt Höwedes,0.856,0.581,0.776,0.49,1.0,1.0,1.0,0.429,0.429,0.0,0.975,0.852,0.716,0.762,0.75,0.015,0.0,21.408,inf,46,321,167,3,110,14,6,1,9,42,32,11432.0721096,163,159,219,257,102,73,5,0,14,5,0,4,7,1,1,0,3,4,1,2,0,0,0,0,335,260,90,107,107,44,44,32,3,5
42,Benjamin Henrichs,0.713,0.725,0.617,0.657,0.956,1.0,1.0,0.375,0.375,0.0,0.86,0.686,0.45,0.741,0.833,0.012,0.006,19.658,inf,30,149,58,0,68,8,3,0,4,27,20,4659.0515726,107,92,59,86,40,18,2,1,0,0,0,4,7,0,0,0,3,5,1,2,0,0,0,0,167,103,23,45,43,26,26,14,4,3
43,Benjamin Hübner,0.653,0.511,0.553,0.477,0.951,1.0,0.846,0.3,0.3,0.125,0.732,0.719,0.518,0.467,0.364,0.006,0.0,25.046,inf,18,409,293,6,157,20,6,2,7,15,7,18033.261672200002,183,134,212,295,218,113,3,0,18,0,0,7,19,1,0,0,6,18,0,0,1,0,0,0,537,297,76,102,97,144,144,92,13,3
44,Bernd Leno,0.647,0.373,0.638,0.36,,1.0,,0.143,0.143,,0.963,0.994,0.424,,,0.002,0.0,45.224,,0,2,1090,0,203,7,1,0,1,0,0,49384.234797900004,109,105,320,322,658,279,2,0,14,0,0,1,7,0,0,0,1,7,0,0,0,0,0,0,1052,671,36,0,0,611,611,2,0,2
