,player,pass_accuracy,up_pass_accuracy,pass_accuracy_progressive,up_pass_accuracy_progressive,pass_accuracy_backward,pass_horizontal_backward,up_pass_accuracy_backward,pass_accuracy_into_box,pass_accuracy_into_box,up_pass_accuracy_into_box,pass_accuaracy_short,pass_accuaracy_medium,pass_accuaracy_long,pass_accuracy_within_attacking_third,up_pass_accuracy_within_attacking_third,pass_progressive_lead_to_shot_%,pass_progressive_lead_to_goal_%,pass_mean_distance,pass_accuracy_cuts_last_line_of_defence,passes_from_attacking_third,passes_from_middle_third,passes_from_defending_third,passes_from_the_box,passes_into_attacking_third,passes_into_box,passes_into_box_completed,passes_into_goal_area,passes_into_edge_of_the_box,passes_within_attacking_third,passes_within_attacking_third_completed,passes_total_distance,passes_short_total,passes_short_completed,passes_medium_completed,passes_medium_total,passes_long_total,passes_long_completed,passes_shot_assist,passes_goal_assist,passes_switch,passes_cross,passes_cut_back,passes_vertical_into_edge_of_the_box,passes_vertical_into_the_box,passes_horizontal_into_the_box,passes_horizontal_into_edge_of_the_box,passes_cut_back_into_edge_of_the_box,passes_high_vertical_into_edge_of_the_box,passes_high_vertical_into_the_box,passes_low_vertical_into_edge_of_the_box,passes_low_vertical_into_the_box,passes_high_horizontal_into_the_box,passes_high_horizontal_into_edge_of_the_box,passes_low_horizontal_into_the_box,passes_low_horizontal_into_edge_of_the_box,passes_progressive,passes_progressive_completed,passes_horizontal,passes_backward,passes_backward_completed,passes_long_vertical,passes_long_vertical_from_defending_third,passes_long_vertical_from_mid_third,passes_long_vertical_from_mid_third_into_the_box,key_passes
188,Josip Drmic,0.674,0.621,0.509,0.444,0.84,1.0,0.85,0.133,0.133,0.0,0.769,0.573,0.667,0.579,0.625,0.045,0.0,15.209,2.0,120,127,32,10,130,15,2,3,16,107,62,4243.4419292,147,113,47,82,24,16,5,0,7,8,2,6,7,5,5,2,3,3,2,2,4,5,0,0,112,57,31,119,100,7,7,4,1,5
189,Josuha Guilavogui,0.879,0.803,0.776,0.65,0.977,1.0,0.956,0.294,0.294,0.0,0.895,0.911,0.798,0.8,0.75,0.026,0.0,20.386,,185,1025,239,11,317,17,5,3,9,150,120,29538.6855756,497,445,627,688,233,186,18,0,50,6,0,4,12,1,1,0,1,4,2,7,1,1,0,0,688,534,305,444,434,66,66,46,3,18
190,Joël Andre Job Matip,0.835,0.689,0.753,0.603,0.975,1.0,0.929,0.303,0.303,0.4,0.875,0.878,0.743,0.672,0.696,0.007,0.003,24.111,1.8,69,949,714,9,309,33,10,4,14,67,45,41760.290127700006,401,351,745,849,452,336,8,3,76,6,2,8,26,0,1,0,4,16,2,6,0,0,0,0,1095,825,352,277,270,182,182,100,15,11
191,Juan Bernat Velasco,0.891,0.821,0.806,0.61,0.985,1.0,0.981,0.294,0.294,0.0,0.942,0.908,0.747,0.798,0.765,0.018,0.003,17.196,,249,530,169,6,288,34,10,1,20,198,158,16301.835346599999,445,419,344,379,91,68,7,1,13,18,1,5,10,8,6,0,4,5,1,4,4,3,2,3,396,319,138,394,388,26,26,14,1,8
192,Julian Baumgartlinger,0.837,0.789,0.721,0.636,0.968,1.0,0.924,0.41,0.41,0.0,0.877,0.87,0.695,0.719,0.59,0.025,0.001,18.934,14.0,165,1013,289,4,331,39,16,1,12,146,105,27775.82771395,618,542,502,577,203,141,19,1,48,6,1,5,29,4,3,1,4,16,1,8,3,2,0,0,753,543,255,444,430,74,74,59,13,20
193,Julian Brandt,0.74,0.691,0.649,0.635,0.881,1.0,0.822,0.366,0.366,0.273,0.827,0.786,0.475,0.625,0.581,0.105,0.011,15.309,4.0,370,325,40,28,372,82,30,18,56,325,203,11252.3013137,388,321,154,196,80,38,29,3,17,26,3,9,27,15,14,3,4,6,3,16,4,5,6,5,276,179,106,294,259,15,15,9,0,32
194,Julian Draxler,0.803,0.801,0.692,0.662,0.94,1.0,0.932,0.459,0.459,0.571,0.864,0.856,0.676,0.698,0.822,0.104,0.015,21.375,2.667,324,464,54,18,369,85,39,9,54,268,187,17998.1178577,301,260,279,326,188,127,35,5,57,27,4,10,29,11,9,3,5,10,5,17,9,5,1,4,338,234,146,315,296,45,45,33,8,40
195,Julian Korb,0.775,0.608,0.662,0.514,0.95,1.0,0.833,0.419,0.419,0.5,0.854,0.826,0.527,0.712,0.682,0.015,0.002,17.5,2.0,194,421,144,14,265,31,13,4,21,177,126,13282.6878798,328,280,262,317,74,39,6,1,3,15,5,3,16,11,14,2,1,4,1,7,3,4,3,6,411,272,88,240,228,45,45,20,4,7
196,Julian Schieber,0.516,0.538,0.2,0.167,0.833,1.0,1.0,0.0,0.0,,0.6,0.444,0.0,0.273,0.4,0.067,0.067,13.077,,15,16,0,2,16,1,0,1,2,11,3,405.3750543,15,9,4,9,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15,3,3,12,10,1,1,0,0,2
197,Julian Weigl,0.921,0.814,0.852,0.676,0.986,1.0,0.955,0.522,0.522,0.286,0.943,0.948,0.836,0.883,0.842,0.014,0.0,19.76,3.5,243,1787,247,0,488,46,24,0,6,206,182,44994.6472457,789,744,1067,1126,324,271,15,0,33,4,0,5,32,2,0,0,3,22,1,9,0,0,1,0,1079,919,687,498,491,78,78,49,16,15
198,Jérôme Boateng,0.856,0.738,0.786,0.58,0.983,1.0,0.962,0.283,0.283,0.273,0.938,0.905,0.715,0.583,0.444,0.011,0.004,25.943,1.833,78,810,397,1,298,53,15,6,32,72,42,33336.5188764,274,257,573,633,369,264,9,3,85,11,0,23,38,1,2,0,23,36,0,2,1,2,0,0,816,641,281,181,178,159,159,102,24,12
199,Jérôme Gondorf,0.597,0.608,0.505,0.51,0.866,1.0,0.828,0.203,0.203,0.143,0.71,0.618,0.481,0.511,0.517,0.02,0.007,20.004,5.0,250,466,156,22,415,69,14,8,38,229,117,17443.7525715,338,240,168,272,189,91,12,4,15,17,4,15,41,8,6,2,13,31,2,8,3,5,3,0,606,306,79,157,136,123,123,87,23,16
200,Júnior Enrique Díaz Campbell,0.611,0.523,0.561,0.5,0.96,1.0,0.8,0.406,0.406,0.0,0.734,0.624,0.507,0.613,0.429,0.018,0.0,23.089,,67,138,70,0,127,32,13,2,14,62,38,6349.430265739999,79,58,73,117,69,35,4,0,4,11,0,5,11,8,2,0,5,11,0,0,6,2,1,0,223,125,19,25,24,47,47,31,8,4
201,Kaan Ayhan,0.789,0.6,0.692,0.333,1.0,1.0,1.0,0.25,0.25,,0.909,0.909,0.6,0.0,,0.0,0.0,28.396,,1,22,15,0,9,4,1,0,2,1,0,1079.046713,11,10,10,11,15,9,0,0,4,0,0,1,3,0,0,0,1,3,0,0,0,0,0,0,26,18,7,5,5,10,10,7,3,0
202,Karim Bellarabi,0.659,0.65,0.587,0.575,0.867,1.0,0.828,0.282,0.282,0.294,0.788,0.641,0.402,0.59,0.602,0.074,0.026,16.054,2.429,490,330,55,50,553,131,37,31,94,461,272,14046.90577086,443,349,175,273,82,33,31,11,20,67,12,21,54,46,44,12,7,12,7,28,20,17,16,19,421,247,115,248,215,29,29,17,5,42
203,Karim Onisiwo,0.611,0.458,0.419,0.385,0.88,1.0,0.8,0.875,0.875,0.667,0.571,0.818,0.571,0.562,0.5,0.129,0.032,18.077,,33,31,8,6,38,8,7,4,8,32,18,1301.5568874,28,16,18,22,14,8,4,1,1,10,2,0,2,3,6,0,0,0,0,2,2,2,0,2,31,13,9,25,22,6,6,4,0,5
204,Kazuki Nagasawa,0.625,0.7,0.25,0.0,0.75,1.0,1.0,0.0,0.0,,0.818,0.2,,0.0,0.0,0.0,0.0,12.961,,5,10,1,2,6,1,0,1,3,5,0,207.3830721,11,9,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,6,4,3,0,0,0,0,0
205,Kenan Karaman,0.705,0.682,0.567,0.564,0.897,1.0,0.839,0.407,0.407,0.5,0.817,0.699,0.371,0.675,0.639,0.059,0.008,15.793,3.0,211,210,84,10,232,27,11,2,18,191,129,7975.4330849,263,215,121,173,35,13,14,2,6,16,2,1,9,10,8,2,0,1,1,7,4,4,3,1,238,135,65,174,156,18,18,5,1,16
206,Kevin De Bruyne,0.748,0.846,0.622,0.667,0.952,1.0,0.889,0.421,0.421,,0.816,0.85,0.52,0.63,1.0,0.067,0.0,20.669,,58,46,3,1,62,19,8,6,14,54,34,2211.5696915,38,31,34,40,25,13,3,0,6,9,0,4,5,3,2,0,4,4,0,1,0,0,2,1,45,28,12,42,40,5,5,1,0,3
207,Kevin Großkreutz,0.757,0.593,0.659,0.5,0.949,1.0,0.8,0.238,0.238,0.0,0.878,0.769,0.509,0.672,0.611,0.024,0.0,17.829,,134,203,111,9,173,21,5,6,16,125,84,7987.4896816,181,159,143,186,55,28,6,0,9,17,0,2,7,3,4,0,2,4,0,2,2,1,0,2,255,168,59,118,112,26,26,11,3,6
208,Kevin Kampl,0.808,0.799,0.723,0.729,0.96,1.0,0.946,0.365,0.365,0.333,0.875,0.852,0.639,0.772,0.765,0.025,0.003,18.406,2.333,285,640,125,18,442,52,19,7,29,268,207,19326.0719572,449,393,340,399,155,99,15,2,26,15,3,12,35,5,9,2,8,16,4,17,2,4,1,4,599,433,176,249,239,68,68,47,13,17
209,Kevin Kuranyi,0.574,0.52,0.427,0.405,0.824,1.0,0.765,0.375,0.375,0.143,0.67,0.509,0.667,0.622,0.588,0.042,0.0,14.848,4.0,77,93,13,8,95,16,6,0,7,74,46,2717.1981358,94,63,27,53,15,10,4,0,4,1,0,5,14,1,1,0,2,3,1,8,1,1,0,0,96,41,22,51,42,9,9,7,3,4
210,Kevin Vogt,0.804,0.744,0.696,0.667,0.953,1.0,0.886,0.385,0.385,0.0,0.82,0.854,0.748,0.653,0.727,0.024,0.004,23.944,2.333,108,606,147,9,234,39,15,3,21,95,62,20615.6797194,217,178,338,396,230,172,11,2,45,11,1,11,25,7,6,0,9,16,2,6,5,3,1,2,461,321,168,213,203,92,92,65,13,13
211,Kevin Volland,0.568,0.531,0.447,0.425,0.848,1.0,0.805,0.297,0.297,0.333,0.681,0.627,0.404,0.468,0.453,0.072,0.014,18.553,3.25,460,393,68,50,542,155,46,28,120,419,196,17087.1892404,354,241,200,319,151,61,35,7,31,93,10,30,69,28,37,8,20,31,9,31,19,21,8,11,486,217,89,256,217,74,74,46,16,42
212,Kingsley Coman,0.802,0.776,0.592,0.545,0.959,1.0,0.935,0.327,0.327,0.312,0.897,0.823,0.418,0.715,0.667,0.178,0.034,16.827,inf,587,262,29,59,484,104,34,22,91,460,329,14773.813367300001,427,383,275,334,79,33,31,6,22,98,12,5,14,59,56,12,3,4,1,7,34,25,10,14,174,103,113,509,488,10,10,1,1,37
213,Klaas-Jan Huntelaar,0.742,0.686,0.608,0.579,0.903,1.0,0.845,0.567,0.567,0.75,0.754,0.77,0.594,0.709,0.791,0.104,0.014,13.55,2.0,216,282,22,28,230,30,17,3,13,189,134,7045.87680193,276,208,104,135,32,19,22,3,6,14,2,2,13,9,8,1,0,3,2,8,7,5,0,0,212,129,70,207,187,11,11,7,2,25
214,Koen Casteels,0.724,0.475,0.699,0.415,1.0,1.0,,0.0,0.0,,0.927,0.988,0.527,,,0.0,0.0,39.162,,0,2,484,0,27,2,0,0,0,0,0,19032.7392246,41,38,170,172,273,144,0,0,10,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,445,311,40,1,1,228,228,0,0,0
215,Konstantin Engel,0.529,0.429,0.493,0.5,0.875,1.0,0.5,0.333,0.333,0.0,0.789,0.571,0.286,0.385,0.0,0.014,0.0,24.037,,14,43,30,0,33,9,3,0,3,13,5,2091.2315648999997,19,15,24,42,21,6,1,0,1,2,0,0,2,4,2,0,0,2,0,0,4,2,0,0,69,34,5,8,7,12,12,6,1,1
216,Konstantin Rausch,0.521,0.52,0.461,0.405,0.818,1.0,0.71,0.241,0.241,0.667,0.727,0.611,0.317,0.439,0.511,0.083,0.013,23.483,4.0,318,208,107,11,386,199,48,72,171,303,133,14865.04489173,194,141,107,175,221,70,31,5,37,70,4,66,79,22,20,3,62,71,2,5,13,11,6,7,373,172,68,110,90,107,107,52,33,36
217,Konstantinos Stafylidis,0.703,0.643,0.577,0.444,0.981,1.0,1.0,0.273,0.273,0.0,0.871,0.784,0.477,0.493,0.5,0.014,0.0,25.864,inf,96,183,102,0,118,33,9,9,28,73,36,9854.2523467,85,74,138,176,109,52,3,0,21,21,0,5,8,9,8,0,5,7,0,1,7,7,0,0,222,128,34,108,106,55,55,26,4,3
218,Kyriakos Papadopoulos,0.74,0.56,0.652,0.467,0.971,1.0,1.0,0.0,0.0,,0.868,0.764,0.533,0.889,0.667,0.007,0.0,21.165,,10,186,185,1,42,1,0,1,1,9,8,8063.7753767,121,105,133,174,75,40,2,0,8,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,276,180,68,35,34,37,37,14,1,2
219,Lars Bender,0.772,0.71,0.695,0.648,0.974,1.0,0.9,0.458,0.458,0.667,0.869,0.746,0.581,0.697,0.615,0.017,0.003,17.299,4.0,132,326,87,6,206,24,11,2,9,122,85,9428.0414983,251,218,147,197,62,36,6,1,8,4,1,4,15,3,4,0,4,8,0,6,2,2,1,2,361,251,59,114,111,34,34,17,3,7
220,Lars Edi Stindl,0.798,0.767,0.691,0.664,0.926,1.0,0.895,0.41,0.41,0.375,0.84,0.856,0.655,0.72,0.728,0.084,0.014,15.407,3.286,483,822,108,40,589,78,32,8,52,439,316,21770.58113033,743,624,350,409,142,93,49,8,21,24,3,15,43,16,18,2,1,4,10,32,7,7,5,9,583,403,224,540,500,51,51,43,10,57
221,Leandro Putaro,0.75,0.667,0.6,0.5,0.8,1.0,1.0,,,,0.667,1.0,0.0,0.5,,0.0,0.0,13.593,,5,7,0,2,6,0,0,0,0,4,2,163.1119829,6,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,5,4,1,1,1,0,0
222,Leon Aderemi Balogun,0.74,0.568,0.621,0.488,0.982,1.0,1.0,0.316,0.316,0.0,0.834,0.805,0.626,0.594,0.222,0.007,0.0,23.792,2.0,38,310,357,2,102,19,6,1,11,32,19,16773.2425558,181,151,239,297,203,127,3,0,20,4,0,5,10,6,6,0,4,8,0,0,5,4,0,0,451,280,134,110,108,101,101,47,6,3
223,Leon Andreasen,0.692,0.673,0.533,0.5,0.938,1.0,0.909,0.163,0.163,0.0,0.801,0.784,0.424,0.467,0.375,0.061,0.005,21.092,inf,100,230,59,6,155,43,7,5,33,90,42,8204.9060868,151,121,109,139,85,36,12,1,16,12,0,9,16,5,8,0,6,12,2,3,4,5,0,2,197,105,58,113,106,44,44,32,10,13
224,Leon Goretzka,0.822,0.766,0.702,0.648,0.959,1.0,0.885,0.429,0.429,0.571,0.849,0.867,0.699,0.775,0.757,0.048,0.007,18.308,3.0,180,609,163,9,237,35,15,2,16,151,117,17429.2321532,405,344,320,369,136,95,22,3,15,7,0,9,23,3,3,0,6,12,2,10,1,1,0,2,457,321,161,314,301,50,50,35,8,25
225,Leon Guwara,0.689,0.636,0.625,0.667,0.867,1.0,0.75,0.0,0.0,,0.81,0.8,0.5,0.462,0.5,0.0,0.0,16.728,,15,21,9,0,17,4,0,0,0,13,6,752.7753958000001,21,17,12,15,4,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,24,15,3,15,13,2,2,0,0,0
226,Leonardo Bittencourt,0.696,0.615,0.535,0.434,0.906,1.0,0.853,0.346,0.346,0.211,0.791,0.713,0.481,0.583,0.551,0.068,0.01,17.521,1.727,369,405,92,31,424,107,37,20,67,333,194,15172.911200400002,393,311,226,317,106,51,28,4,20,43,6,17,48,20,19,2,6,12,6,25,9,8,3,3,409,219,105,308,279,52,52,28,8,32
227,Leroy Sané,0.774,0.756,0.613,0.576,0.919,1.0,0.875,0.419,0.419,0.75,0.846,0.795,0.684,0.709,0.739,0.08,0.023,15.535,3.0,283,273,60,37,285,43,18,10,46,237,168,9569.487883099999,311,263,155,195,57,39,21,6,8,26,7,12,23,8,16,7,3,4,8,17,4,3,3,10,261,160,101,235,216,13,13,9,5,27
228,Levin Mete Öztunali,0.616,0.571,0.48,0.417,0.867,1.0,0.879,0.333,0.333,0.2,0.75,0.658,0.483,0.508,0.429,0.085,0.017,14.676,2.0,211,126,38,34,220,54,18,11,50,197,100,5503.6352879999995,172,129,79,120,29,14,15,3,6,39,7,7,12,19,23,6,2,4,2,6,7,8,9,12,177,85,42,120,104,5,5,3,0,18
229,Lewis Harry Holtby,0.77,0.719,0.643,0.608,0.958,1.0,0.913,0.311,0.311,0.545,0.856,0.818,0.633,0.603,0.566,0.04,0.002,21.464,2.333,370,1103,322,12,577,148,46,21,116,340,205,38527.107271839996,583,499,572,699,420,266,37,2,92,33,1,38,59,14,15,1,31,41,4,15,10,11,4,4,931,599,323,480,460,159,159,94,24,39
230,Loris Karius,0.577,0.432,0.562,0.413,0.0,1.0,,0.0,0.0,,0.987,0.988,0.385,,,0.0,0.0,46.191,,1,13,1251,1,153,9,0,0,3,0,0,58431.1089056,78,77,323,327,858,330,0,0,25,0,0,3,9,0,0,0,3,9,0,0,0,0,0,0,1216,683,47,1,0,770,770,10,0,0
231,Luc Castaignos,0.659,0.477,0.448,0.233,0.875,1.0,0.739,0.286,0.286,0.0,0.734,0.534,0.444,0.564,0.5,0.069,0.011,14.235,3.5,87,117,4,10,100,21,6,2,15,78,44,2960.94169,109,80,31,58,18,8,6,1,0,7,1,4,11,4,6,1,2,3,1,6,2,2,2,4,87,39,28,80,70,10,10,7,4,7
232,Luca Caldirola,0.607,0.559,0.539,0.5,0.973,1.0,0.909,0.333,0.333,0.5,0.761,0.716,0.386,0.656,0.562,0.009,0.0,26.273,,97,348,240,5,283,39,13,4,19,96,63,17996.9351502,163,124,202,282,220,85,5,0,11,8,1,11,19,8,3,0,11,18,0,1,6,2,0,0,540,291,54,73,71,185,185,110,13,5
233,Luca-Milan Zander,0.657,0.429,0.643,0.333,1.0,1.0,,0.333,0.333,,0.786,0.615,0.6,0.5,,0.0,0.0,16.973,,6,20,9,0,8,3,1,0,0,6,3,594.0571118,14,11,8,13,5,3,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,28,18,3,2,2,4,4,2,0,0
234,Luiz Gustavo Dias,0.879,0.827,0.761,0.679,0.977,1.0,0.937,0.158,0.158,0.0,0.897,0.922,0.79,0.76,0.778,0.013,0.002,21.144,inf,123,771,193,3,215,19,3,2,12,100,76,22983.17181235,339,304,473,513,205,162,6,1,40,7,2,3,10,5,4,1,3,9,0,1,2,1,1,1,464,353,264,346,338,57,57,44,8,7
235,Lukas Fröde,0.58,0.471,0.558,0.467,1.0,1.0,1.0,0.8,0.8,1.0,0.696,0.571,0.375,0.667,0.667,0.023,0.0,16.82,,13,28,9,1,17,5,4,1,1,12,8,840.9873375,23,16,8,14,8,3,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,43,24,2,3,3,6,6,4,0,1
236,Lukas Hinterseer,0.604,0.481,0.459,0.358,0.834,1.0,0.71,0.171,0.171,0.182,0.741,0.585,0.231,0.552,0.447,0.041,0.0,12.937,3.0,273,240,30,30,292,35,6,4,25,241,133,7025.03558763,290,215,83,142,26,6,11,0,2,12,5,10,23,9,9,3,1,5,7,12,3,4,3,3,270,124,48,187,156,18,18,10,5,11
237,Lukas Klünter,0.2,0.0,0.25,0.0,,,,,,,1.0,0.0,,0.0,0.0,0.0,0.0,9.225,,2,3,0,0,3,0,0,0,0,2,0,46.1230697,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
238,Lukas Rupp,0.748,0.718,0.663,0.625,0.928,1.0,0.878,0.38,0.38,0.455,0.833,0.8,0.417,0.685,0.667,0.051,0.007,16.791,2.4,289,522,167,14,399,71,27,10,33,260,178,16421.2319864,496,413,252,315,108,45,29,4,17,20,4,10,36,10,9,3,4,13,6,19,6,5,3,2,569,377,148,223,207,53,53,38,11,33
239,Lukáš Hrádecký,0.617,0.427,0.605,0.432,1.0,1.0,,0.0,0.0,,0.966,0.98,0.469,,,0.0,0.0,46.452,,0,7,1335,0,159,7,0,1,4,0,0,62339.063574,87,84,295,301,951,446,0,0,33,0,0,4,7,0,0,0,4,7,0,0,0,0,0,0,1299,786,41,1,1,863,863,4,1,0
240,László Kleinheisler,0.756,0.727,0.638,0.5,1.0,1.0,1.0,0.429,0.429,,0.867,0.905,0.529,0.8,0.5,0.021,0.0,18.445,,32,36,10,1,43,7,3,1,4,30,24,1438.7249199,30,26,19,21,17,9,1,0,2,5,0,0,2,1,1,0,0,0,0,2,1,1,0,0,47,30,10,19,19,5,5,4,1,1
241,Mahmoud Dahoud,0.837,0.79,0.706,0.658,0.96,1.0,0.944,0.609,0.609,0.5,0.857,0.888,0.761,0.765,0.732,0.041,0.012,19.098,2.25,229,865,185,4,325,46,28,2,15,196,150,24426.7290275,509,436,460,518,205,156,23,7,42,1,0,14,35,0,0,0,4,9,7,22,0,0,0,0,561,396,268,424,407,57,57,39,6,30
242,Makoto Hasebe,0.743,0.701,0.614,0.595,0.975,1.0,0.915,0.348,0.348,0.3,0.841,0.801,0.552,0.649,0.615,0.032,0.002,20.976,3.333,278,854,280,5,460,92,32,10,55,245,159,29618.274199599997,466,392,483,603,277,153,26,2,37,28,1,22,41,16,11,0,21,36,0,4,9,8,4,3,822,505,197,356,347,141,141,91,25,28
243,Manuel Neuer,0.832,0.526,0.81,0.493,1.0,1.0,,0.0,0.0,0.0,0.995,0.982,0.645,,,0.0,0.0,32.74,,0,25,1263,0,55,7,0,0,3,0,0,42168.7823213,195,194,496,505,583,376,0,0,38,0,0,3,7,0,0,0,3,7,0,0,0,0,0,0,1127,913,155,3,3,408,408,5,2,0
244,Manuel Schmiedebach,0.733,0.694,0.618,0.562,0.931,1.0,0.94,0.242,0.242,0.0,0.826,0.802,0.489,0.606,0.533,0.03,0.002,19.946,7.0,202,660,138,5,360,66,16,7,41,188,114,19946.2584386,403,333,295,368,180,88,18,1,11,13,2,23,44,6,5,0,21,36,1,4,4,3,2,2,594,367,137,246,229,116,116,86,23,19
245,Marc Stendera,0.724,0.684,0.644,0.594,0.921,1.0,0.852,0.293,0.293,0.294,0.854,0.811,0.465,0.541,0.64,0.035,0.002,21.35,inf,249,707,122,9,435,140,41,25,98,233,126,23015.2811145,404,345,304,375,254,118,23,1,50,27,0,34,66,8,8,0,29,44,4,20,7,7,0,0,648,417,154,228,210,118,118,91,33,24
246,Marcel  Hilßner,0.583,0.667,0.333,,1.0,1.0,1.0,0.0,0.0,,0.6,0.75,0.333,0.5,1.0,0.0,0.0,20.716,,2,7,3,0,5,2,0,0,1,2,1,248.593554,5,3,3,4,3,1,0,0,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,6,2,2,3,3,3,3,1,1,0
247,Marcel Hartel,0.708,0.75,0.545,0.571,0.909,1.0,0.875,0.0,0.0,,0.714,0.889,0.5,0.529,0.667,0.0,0.0,17.92,,21,21,6,1,17,2,0,0,2,17,9,860.1715609,21,15,16,18,6,3,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,22,12,2,22,20,2,2,1,0,0
248,Marcel Heller,0.507,0.477,0.474,0.408,0.8,1.0,0.767,0.261,0.261,0.312,0.636,0.518,0.357,0.451,0.463,0.071,0.016,17.996,1.0,346,157,102,47,382,115,30,34,95,339,153,10887.601040900001,250,159,100,193,98,35,22,5,18,97,11,9,19,62,62,6,8,10,0,5,44,40,8,9,312,148,67,115,92,35,35,10,5,27
249,Marcel Risse,0.606,0.507,0.483,0.392,0.923,1.0,0.795,0.305,0.305,0.083,0.792,0.722,0.388,0.455,0.37,0.066,0.006,25.714,3.375,483,682,339,20,698,295,90,46,228,444,202,38673.7692657,404,320,384,532,503,195,60,5,88,125,6,63,100,45,41,5,56,79,2,13,29,25,7,8,908,439,162,337,311,267,267,127,48,65
250,Marcel Schmelzer,0.824,0.695,0.686,0.522,0.969,1.0,0.944,0.435,0.435,0.333,0.893,0.859,0.597,0.726,0.644,0.032,0.006,17.123,,572,765,265,30,585,92,40,10,70,460,334,27430.4376742,736,657,565,658,149,89,22,4,11,65,12,3,20,25,32,6,3,8,0,10,11,15,8,8,688,472,217,651,631,68,68,33,6,26
251,Marcel Schäfer,0.764,0.549,0.638,0.432,0.961,1.0,0.962,0.472,0.472,0.0,0.851,0.833,0.574,0.679,0.5,0.08,0.005,19.899,1.0,258,374,140,4,292,89,42,9,70,224,152,15362.1141528,269,229,284,341,122,70,32,2,30,45,0,8,16,24,19,0,8,11,0,4,20,16,2,1,398,254,92,254,244,37,37,16,3,34
252,Marcelo Alfonso Díaz Rojas,0.846,0.817,0.775,0.724,0.947,1.0,0.947,0.316,0.316,1.0,0.921,0.901,0.688,0.564,0.667,0.029,0.0,21.055,inf,45,269,63,0,94,19,6,4,13,39,22,7937.8695864,126,116,146,162,77,53,6,0,13,2,0,7,12,0,0,0,6,10,1,2,0,0,0,0,204,158,72,94,89,32,32,17,7,6
253,Marcelo Antônio Guedes Filho,0.805,0.629,0.695,0.559,0.976,1.0,0.905,0.059,0.059,0.0,0.88,0.891,0.644,0.294,0.2,0.004,0.0,25.999,,18,492,412,6,139,17,1,0,7,17,5,23971.5276362,191,168,394,442,275,177,2,0,44,0,0,6,16,1,1,0,6,16,0,0,0,0,1,0,560,389,191,166,162,135,135,79,13,2
254,Marco Höger,0.712,0.618,0.639,0.526,0.9,1.0,0.75,0.111,0.111,0.0,0.667,0.804,0.667,0.542,0.6,0.0,0.0,19.345,,26,73,19,1,47,9,1,1,6,24,13,2282.7154363,36,24,45,56,18,12,0,0,2,4,0,3,5,3,2,0,3,5,0,0,2,2,1,0,72,46,20,20,18,5,5,2,2,0
255,Marco Jhonfai Fabián De La Mora,0.766,0.72,0.674,0.595,0.89,1.0,0.833,0.396,0.396,0.5,0.832,0.801,0.616,0.642,0.68,0.088,0.01,18.5,5.0,177,233,21,9,208,53,21,12,42,159,102,7973.3178795,185,154,117,146,73,45,17,2,18,20,2,7,17,8,9,2,6,12,1,4,5,6,0,0,193,130,87,127,113,19,19,13,7,19
256,Marco Reus,0.799,0.75,0.657,0.509,0.906,1.0,0.89,0.438,0.438,0.625,0.879,0.834,0.55,0.728,0.698,0.158,0.011,16.879,2.0,446,333,35,43,435,89,39,24,78,372,271,13739.460010300001,388,341,231,277,100,55,42,3,18,37,6,18,31,9,15,5,9,10,8,20,4,5,3,7,265,174,118,395,358,30,30,18,8,45
257,Marco Russ,0.798,0.611,0.731,0.57,0.962,1.0,0.931,0.348,0.348,0.143,0.849,0.869,0.598,0.606,0.419,0.006,0.003,20.688,4.0,71,580,370,14,196,23,8,6,16,71,43,21121.9958859,358,304,398,458,174,104,4,2,18,5,0,6,20,2,8,0,5,15,1,4,2,5,0,1,665,486,179,156,150,94,94,63,13,6
258,Marco Sailer,0.576,0.538,0.312,0.333,0.895,1.0,0.8,0.0,0.0,0.0,0.704,0.458,0.333,0.444,0.533,0.094,0.0,15.256,,30,30,6,3,35,9,0,1,7,27,12,1006.92835003,27,19,11,24,6,2,3,0,1,2,1,4,6,0,0,1,4,4,0,0,0,0,0,0,32,10,11,19,17,4,4,2,2,3
259,Mario Götze,0.859,0.803,0.738,0.652,0.96,1.0,0.907,0.475,0.475,0.778,0.912,0.914,0.538,0.768,0.774,0.072,0.021,14.189,2.0,233,274,40,19,252,40,19,5,30,207,159,7761.319979899999,328,299,127,139,39,21,14,4,6,18,1,5,13,12,13,1,2,3,2,7,8,8,2,2,195,144,85,251,241,9,9,6,2,18
