player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%
Raúl Marcelo Bobadilla,1076,14,100,473,503,110,69,41,28,3,8,0,407,26,10,9,2721.215674475756,258,2129.1116558340727,21,1,62,0,4,29,29,7,170,167,0,1076,14,100,473,503,110,69,41,28,3,8,0,407,26,10,9,2721.215674475756,258,2129.1116558340727,21,1,62,0,4,29,29,7,170,167,0,0.013011152416356878,0.09293680297397769,0.4395910780669145,0.4674721189591078,0.10223048327137546,0.9823529411764705,0.5942028985507246,6.68603359822053,0.06388206388206388,0.02457002457002457,0.022113022113022112,8.252370759046794,0.15233415233415235
René Adler,192,174,192,0,0,0,1,1,0,0,0,0,79,0,0,0,364.1826845581393,51,250.9600503705449,0,0,0,0,0,0,0,0,35,35,0,192,174,192,0,0,0,1,1,0,0,0,0,79,0,0,0,364.1826845581393,51,250.9600503705449,0,0,0,0,0,0,0,0,35,35,0,0.90625,1.0,0.0,0.0,0.0,1.0,1.0,4.609907399470117,0.0,0.0,0.0,4.9207853013832334,0.0
Ricardo Iván Rodríguez Araya,817,51,262,435,120,5,24,19,5,0,0,0,337,9,2,0,2146.4083980485707,164,1252.6006939752674,4,1,26,1,9,7,10,0,36,36,0,817,51,262,435,120,5,24,19,5,0,0,0,337,9,2,0,2146.4083980485707,164,1252.6006939752674,4,1,26,1,9,7,10,0,36,36,0,0.06242350061199511,0.32068543451652387,0.5324357405140759,0.14687882496940025,0.006119951040391677,1.0,0.7916666666666666,6.369164385900803,0.026706231454005934,0.005934718100890208,0.0,7.637809109605289,0.0771513353115727
Robbie Kruse,205,6,24,77,104,15,5,1,4,0,1,0,74,6,5,1,579.2097665128493,41,409.6080146834125,0,0,9,0,1,2,6,0,29,28,0,205,6,24,77,104,15,5,1,4,0,1,0,74,6,5,1,579.2097665128493,41,409.6080146834125,0,0,9,0,1,2,6,0,29,28,0,0.02926829268292683,0.11707317073170732,0.375609756097561,0.5073170731707317,0.07317073170731707,0.9655172413793104,0.2,7.827159006930397,0.08108108108108109,0.06756756756756757,0.013513513513513514,9.990439382522256,0.12162162162162163
Robert Bauer,563,44,214,229,120,7,11,8,3,0,0,0,155,8,0,0,960.8963303781002,87,636.6354526434085,7,0,7,0,1,2,4,0,36,31,0,563,44,214,229,120,7,11,8,3,0,0,0,155,8,0,0,960.8963303781002,87,636.6354526434085,7,0,7,0,1,2,4,0,36,31,0,0.07815275310834814,0.38010657193605685,0.4067495559502664,0.21314387211367672,0.012433392539964476,0.8611111111111112,0.7272727272727273,6.199331163729679,0.05161290322580645,0.0,0.0,7.317648880958719,0.04516129032258064
Robert Lewandowski,1350,23,53,527,770,209,53,29,24,4,3,0,500,25,27,17,3283.4153721445286,247,2043.9184594967649,41,8,66,0,0,24,42,15,218,212,0,1350,23,53,527,770,209,53,29,24,4,3,0,500,25,27,17,3283.4153721445286,247,2043.9184594967649,41,8,66,0,0,24,42,15,218,212,0,0.017037037037037038,0.03925925925925926,0.39037037037037037,0.5703703703703704,0.15481481481481482,0.9724770642201835,0.5471698113207547,6.566830744289057,0.05,0.054,0.034,8.274973520229818,0.132
Roberto Hilbert,316,27,87,129,100,1,23,16,7,2,1,0,115,7,1,0,929.5403094295997,79,738.9277692181427,0,0,9,0,2,1,6,0,4,4,1,316,27,87,129,100,1,23,16,7,2,1,0,115,7,1,0,929.5403094295997,79,738.9277692181427,0,0,9,0,2,1,6,0,4,4,1,0.08544303797468354,0.27531645569620256,0.40822784810126583,0.31645569620253167,0.0031645569620253164,1.0,0.6956521739130435,8.082959212431302,0.06086956521739131,0.008695652173913044,0.0,9.353516066052439,0.0782608695652174
Robin Knoche,240,43,155,80,5,1,2,1,1,0,0,0,72,1,0,0,613.0632792317691,51,490.5371350899707,0,0,0,0,0,0,0,0,7,7,0,240,43,155,80,5,1,2,1,1,0,0,0,72,1,0,0,613.0632792317691,51,490.5371350899707,0,0,0,0,0,0,0,0,7,7,0,0.17916666666666667,0.6458333333333334,0.3333333333333333,0.020833333333333332,0.004166666666666667,1.0,0.5,8.514767767107905,0.013888888888888888,0.0,0.0,9.618375197842562,0.0
Roel Brouwers,83,19,53,21,9,6,1,0,1,1,0,0,18,0,0,0,137.8852676845096,8,65.13909844437319,0,0,3,0,3,0,0,0,2,2,0,83,19,53,21,9,6,1,0,1,1,0,0,18,0,0,0,137.8852676845096,8,65.13909844437319,0,0,3,0,3,0,0,0,2,2,0,0.2289156626506024,0.6385542168674698,0.25301204819277107,0.10843373493975904,0.07228915662650602,1.0,0.0,7.660292649139423,0.0,0.0,0.0,8.142387305546649,0.16666666666666666
Roger de Oliveira Bernardo,843,68,246,524,73,9,24,18,6,2,1,0,240,4,0,0,1377.8452368273192,130,839.0185450698206,3,0,18,1,4,11,3,0,48,48,0,843,68,246,524,73,9,24,18,6,2,1,0,240,4,0,0,1377.8452368273192,130,839.0185450698206,3,0,18,1,4,11,3,0,48,48,0,0.08066429418742586,0.2918149466192171,0.6215895610913404,0.08659549228944247,0.010676156583629894,1.0,0.75,5.74102182011383,0.016666666666666666,0.0,0.0,6.453988808229389,0.075
Romain Brégerie,279,35,83,142,54,25,1,0,1,0,0,0,48,0,0,0,259.52554484999274,29,152.78098418245918,2,2,1,0,0,1,0,0,14,14,0,279,35,83,142,54,25,1,0,1,0,0,0,48,0,0,0,259.52554484999274,29,152.78098418245918,2,2,1,0,0,1,0,0,14,14,0,0.12544802867383512,0.2974910394265233,0.5089605734767025,0.1935483870967742,0.08960573476702509,1.0,0.0,5.4067821843748485,0.0,0.0,0.0,5.268309799395144,0.020833333333333332
Roman Bürki,201,179,201,0,0,0,2,2,0,0,0,0,100,0,0,0,527.9337603649263,72,415.698670493725,0,0,0,0,0,0,0,0,19,19,0,201,179,201,0,0,0,2,2,0,0,0,0,100,0,0,0,527.9337603649263,72,415.698670493725,0,0,0,0,0,0,0,0,19,19,0,0.8905472636815921,1.0,0.0,0.0,0.0,1.0,1.0,5.279337603649264,0.0,0.0,0.0,5.773592645746181,0.0
Roman Neustädter,635,107,393,196,46,24,6,4,2,1,3,0,170,1,0,0,1000.6850732363522,93,637.3966633540739,0,0,5,0,2,2,1,0,12,12,0,635,107,393,196,46,24,6,4,2,1,3,0,170,1,0,0,1000.6850732363522,93,637.3966633540739,0,0,5,0,2,2,1,0,12,12,0,0.16850393700787403,0.6188976377952756,0.30866141732283464,0.07244094488188976,0.03779527559055118,1.0,0.6666666666666666,5.886382783743248,0.0058823529411764705,0.0,0.0,6.853727562947031,0.029411764705882353
Roman Weidenfeller,6,5,6,0,0,0,0,0,0,0,0,0,3,0,0,0,23.227252432356458,3,23.227252432356458,0,0,0,0,0,0,0,0,0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,3,0,0,0,23.227252432356458,3,23.227252432356458,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,1.0,0.0,0.0,0.0,,,7.742417477452153,0.0,0.0,0.0,7.742417477452153,0.0
Ron-Robert Zieler,221,155,220,1,0,0,0,0,0,0,0,0,97,0,0,0,489.93075104982756,67,379.28119734475376,0,0,0,0,0,0,0,0,31,31,0,221,155,220,1,0,0,0,0,0,0,0,0,97,0,0,0,489.93075104982756,67,379.28119734475376,0,0,0,0,0,0,0,0,31,31,0,0.7013574660633484,0.995475113122172,0.004524886877828055,0.0,0.0,1.0,,5.050832485049769,0.0,0.0,0.0,5.66091339320528,0.0
Ronaldo Aparecido Rodrigues,850,122,432,345,73,34,11,11,0,0,0,0,256,18,1,0,2045.7902485797429,159,1589.6360836341664,3,0,7,1,3,2,2,0,28,27,0,850,122,432,345,73,34,11,11,0,0,0,0,256,18,1,0,2045.7902485797429,159,1589.6360836341664,3,0,7,1,3,2,2,0,28,27,0,0.14352941176470588,0.508235294117647,0.40588235294117647,0.08588235294117647,0.04,0.9642857142857143,1.0,7.991368158514621,0.0703125,0.00390625,0.0,9.997711217824946,0.02734375
Ronny Heberson Furtado de Araújo,17,0,0,14,3,0,0,0,0,0,0,0,6,0,0,0,31.901395225526265,3,10.723358805155986,0,0,2,0,0,2,0,0,2,2,0,17,0,0,14,3,0,0,0,0,0,0,0,6,0,0,0,31.901395225526265,3,10.723358805155986,0,0,2,0,0,2,0,0,2,2,0,0.0,0.0,0.8235294117647058,0.17647058823529413,0.0,1.0,,5.316899204254377,0.0,0.0,0.0,3.5744529350519954,0.3333333333333333
Roy Beerens,50,0,0,21,29,0,2,1,1,0,0,0,21,2,0,0,161.09458208743894,11,108.44464303166382,1,0,4,0,0,0,4,0,10,10,0,50,0,0,21,29,0,2,1,1,0,0,0,21,2,0,0,161.09458208743894,11,108.44464303166382,1,0,4,0,0,0,4,0,10,10,0,0.0,0.0,0.42,0.58,0.0,1.0,0.5,7.67117057559233,0.09523809523809523,0.0,0.0,9.858603911969437,0.19047619047619047
Rune Almenning Jarstein,430,381,430,0,0,0,1,1,0,0,0,0,203,0,0,0,1090.003637806525,141,788.550775091703,0,0,0,0,0,0,0,0,52,52,0,430,381,430,0,0,0,1,1,0,0,0,0,203,0,0,0,1090.003637806525,141,788.550775091703,0,0,0,0,0,0,0,0,52,52,0,0.8860465116279069,1.0,0.0,0.0,0.0,1.0,1.0,5.369476048308004,0.0,0.0,0.0,5.5925586885936385,0.0
Russell Canouse,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0.4,1.0,0.0,0.0,0.0,1.0,,,,,,,
Salif Sané,1439,119,438,783,218,36,46,33,13,5,2,0,462,15,2,0,2910.525928458092,253,1902.5731783227523,14,0,31,1,7,21,3,0,121,116,0,1439,119,438,783,218,36,46,33,13,5,2,0,462,15,2,0,2910.525928458092,253,1902.5731783227523,14,0,31,1,7,21,3,0,121,116,0,0.08269631688672689,0.30437804030576787,0.5441278665740097,0.15149409312022238,0.02501737317581654,0.9586776859504132,0.717391304347826,6.299839671987212,0.032467532467532464,0.004329004329004329,0.0,7.520052088232222,0.0670995670995671
Salomon Armand Magloire Kalou,1342,19,154,652,536,92,81,43,38,9,2,0,523,46,21,7,4539.198411662309,328,3635.4950710671087,32,4,78,0,7,28,43,7,187,182,0,1342,19,154,652,536,92,81,43,38,9,2,0,523,46,21,7,4539.198411662309,328,3635.4950710671087,32,4,78,0,7,28,43,7,187,182,0,0.014157973174366617,0.11475409836065574,0.4858420268256334,0.39940387481371087,0.06855439642324888,0.9732620320855615,0.5308641975308642,8.679155662834242,0.08795411089866156,0.040152963671128104,0.01338432122370937,11.08382643618021,0.1491395793499044
Sambou Yatabaré,294,4,37,129,128,12,20,14,6,1,2,1,105,7,1,0,697.6048311971102,57,490.3030092764558,6,5,11,0,0,1,10,0,42,41,0,294,4,37,129,128,12,20,14,6,1,2,1,105,7,1,0,697.6048311971102,57,490.3030092764558,6,5,11,0,0,1,10,0,42,41,0,0.013605442176870748,0.12585034013605442,0.4387755102040816,0.43537414965986393,0.04081632653061224,0.9761904761904762,0.7,6.643855535210574,0.06666666666666667,0.009523809523809525,0.0,8.601807180288699,0.10476190476190476
Sandro Sirigu,34,1,22,9,3,0,2,1,1,1,0,0,12,2,0,0,111.50199764126073,6,106.22807325118197,1,0,3,0,1,0,2,0,2,2,0,34,1,22,9,3,0,2,1,1,1,0,0,12,2,0,0,111.50199764126073,6,106.22807325118197,1,0,3,0,1,0,2,0,2,2,0,0.029411764705882353,0.6470588235294118,0.2647058823529412,0.08823529411764706,0.0,1.0,0.5,9.291833136771727,0.16666666666666666,0.0,0.0,17.704678875196993,0.25
Sandro Wagner,1672,46,111,714,847,152,31,14,17,2,5,0,431,23,8,2,2699.74646178354,195,1579.9389450381245,40,9,54,0,3,23,28,4,191,184,0,1672,46,111,714,847,152,31,14,17,2,5,0,431,23,8,2,2699.74646178354,195,1579.9389450381245,40,9,54,0,3,23,28,4,191,184,0,0.02751196172248804,0.06638755980861244,0.4270334928229665,0.506578947368421,0.09090909090909091,0.9633507853403142,0.45161290322580644,6.263912904370162,0.05336426914153132,0.018561484918793503,0.004640371229698376,8.10225100019551,0.12529002320185614
Santiago García,872,90,317,356,199,34,34,21,13,2,0,0,242,15,1,0,1616.5499054987492,171,1301.20943736557,2,1,21,1,2,9,10,2,44,44,0,872,90,317,356,199,34,34,21,13,2,0,0,242,15,1,0,1616.5499054987492,171,1301.20943736557,2,1,21,1,2,9,10,2,44,44,0,0.10321100917431193,0.36353211009174313,0.40825688073394495,0.22821100917431192,0.0389908256880734,1.0,0.6176470588235294,6.679958287184914,0.06198347107438017,0.004132231404958678,0.0,7.609411914418538,0.08677685950413223
Sascha Mölders,20,0,1,9,10,1,1,0,1,0,0,0,3,0,0,0,13.351398151693806,1,2.86530975637888,1,0,1,0,0,0,1,0,3,3,0,20,0,1,9,10,1,1,0,1,0,0,0,3,0,0,0,13.351398151693806,1,2.86530975637888,1,0,1,0,0,0,1,0,3,3,0,0.0,0.05,0.45,0.5,0.05,1.0,0.0,4.450466050564602,0.0,0.0,0.0,2.86530975637888,0.3333333333333333
Sascha Riether,294,36,123,98,73,10,6,0,6,0,0,0,87,2,2,0,670.1182751030466,46,401.1927796778061,4,1,4,0,0,3,1,0,31,30,0,294,36,123,98,73,10,6,0,6,0,0,0,87,2,2,0,670.1182751030466,46,401.1927796778061,4,1,4,0,0,3,1,0,31,30,0,0.12244897959183673,0.41836734693877553,0.3333333333333333,0.24829931972789115,0.034013605442176874,0.967741935483871,0.0,7.702508909230421,0.022988505747126436,0.022988505747126436,0.0,8.721582166908828,0.04597701149425287
Sead Kolašinac,580,47,197,212,171,26,24,12,12,6,1,0,168,9,6,1,977.2266386721955,105,777.9663853088877,5,1,9,0,1,3,5,0,53,51,0,580,47,197,212,171,26,24,12,12,6,1,0,168,9,6,1,977.2266386721955,105,777.9663853088877,5,1,9,0,1,3,5,0,53,51,0,0.08103448275862069,0.3396551724137931,0.36551724137931035,0.29482758620689653,0.04482758620689655,0.9622641509433962,0.5,5.81682523019164,0.05357142857142857,0.03571428571428571,0.005952380952380952,7.409203669608454,0.05357142857142857
Sebastian Boenisch,191,10,51,91,49,9,6,5,1,0,1,0,49,0,1,0,220.60225581814223,28,130.1903277056905,1,0,2,0,0,1,1,0,17,16,0,191,10,51,91,49,9,6,5,1,0,1,0,49,0,1,0,220.60225581814223,28,130.1903277056905,1,0,2,0,0,1,1,0,17,16,0,0.05235602094240838,0.2670157068062827,0.47643979057591623,0.25654450261780104,0.04712041884816754,0.9411764705882353,0.8333333333333334,4.502086853431474,0.0,0.02040816326530612,0.0,4.649654560917518,0.04081632653061224
Sebastian Jung,226,7,56,95,75,2,9,7,2,0,0,0,77,7,1,0,565.333514344368,41,370.1995030899889,0,0,5,0,1,1,3,0,19,18,0,226,7,56,95,75,2,9,7,2,0,0,0,77,7,1,0,565.333514344368,41,370.1995030899889,0,0,5,0,1,1,3,0,19,18,0,0.030973451327433628,0.24778761061946902,0.42035398230088494,0.33185840707964603,0.008849557522123894,0.9473684210526315,0.7777777777777778,7.341993692784,0.09090909090909091,0.012987012987012988,0.0,9.029256172926559,0.06493506493506493
Sebastian Langkamp,549,141,380,152,17,6,4,3,1,0,0,0,130,3,0,0,1124.3764731078757,69,784.2074482631515,1,0,2,1,2,0,0,0,10,10,0,549,141,380,152,17,6,4,3,1,0,0,0,130,3,0,0,1124.3764731078757,69,784.2074482631515,1,0,2,1,2,0,0,0,10,10,0,0.2568306010928962,0.692167577413479,0.2768670309653916,0.030965391621129327,0.01092896174863388,1.0,0.75,8.649049793137506,0.023076923076923078,0.0,0.0,11.365325337147123,0.015384615384615385
Sebastian Rode,186,2,9,118,59,9,5,4,1,0,1,0,78,4,2,0,387.214215532126,45,290.7444736878764,1,0,8,0,0,6,2,0,18,17,0,186,2,9,118,59,9,5,4,1,0,1,0,78,4,2,0,387.214215532126,45,290.7444736878764,1,0,8,0,0,6,2,0,18,17,0,0.010752688172043012,0.04838709677419355,0.6344086021505376,0.3172043010752688,0.04838709677419355,0.9444444444444444,0.8,4.964284814514436,0.05128205128205128,0.02564102564102564,0.0,6.460988304175031,0.10256410256410256
Sebastian Rudy,903,43,218,493,192,15,26,13,13,2,5,0,335,10,2,0,1825.8979979650642,190,1273.245558649131,4,0,19,0,1,12,6,0,101,100,0,903,43,218,493,192,15,26,13,13,2,5,0,335,10,2,0,1825.8979979650642,190,1273.245558649131,4,0,19,0,1,12,6,0,101,100,0,0.047619047619047616,0.24141749723145073,0.5459579180509413,0.21262458471760798,0.016611295681063124,0.9900990099009901,0.5,5.450441784970341,0.029850746268656716,0.005970149253731343,0.0,6.701292413942794,0.056716417910447764
Serdar Taşçı,76,7,29,41,6,1,1,1,0,0,0,0,27,0,0,0,210.71665922525014,13,149.29907024586979,0,0,0,0,0,0,0,0,3,3,0,76,7,29,41,6,1,1,1,0,0,0,0,27,0,0,0,210.71665922525014,13,149.29907024586979,0,0,0,0,0,0,0,0,3,3,0,0.09210526315789473,0.3815789473684211,0.5394736842105263,0.07894736842105263,0.013157894736842105,1.0,1.0,7.804320712046302,0.0,0.0,0.0,11.484543865066907,0.0
Sereso Geoffroy Gonzaroua Dié,730,21,205,406,119,4,60,39,21,3,5,1,297,19,2,1,2113.839333253257,219,1793.5365301233444,5,0,18,1,3,10,5,0,45,43,0,730,21,205,406,119,4,60,39,21,3,5,1,297,19,2,1,2113.839333253257,219,1793.5365301233444,5,0,18,1,3,10,5,0,45,43,0,0.028767123287671233,0.2808219178082192,0.5561643835616439,0.16301369863013698,0.005479452054794521,0.9555555555555556,0.65,7.117304152367868,0.06397306397306397,0.006734006734006734,0.003367003367003367,8.189664521111162,0.06060606060606061
Shinji Kagawa,1308,8,95,670,543,80,43,25,18,0,3,1,567,37,7,5,3109.2908339473247,310,2051.8133776065897,17,2,46,0,4,18,24,3,150,138,0,1308,8,95,670,543,80,43,25,18,0,3,1,567,37,7,5,3109.2908339473247,310,2051.8133776065897,17,2,46,0,4,18,24,3,150,138,0,0.0061162079510703364,0.07262996941896024,0.5122324159021406,0.4151376146788991,0.06116207951070336,0.92,0.5813953488372093,5.483758084563183,0.06525573192239859,0.012345679012345678,0.008818342151675485,6.618752830988999,0.08112874779541446
Sidney Sam,26,0,3,9,14,2,0,0,0,0,0,0,11,0,0,0,85.11069566860539,7,58.58341532419137,0,0,3,0,0,1,2,0,4,4,0,26,0,3,9,14,2,0,0,0,0,0,0,11,0,0,0,85.11069566860539,7,58.58341532419137,0,0,3,0,0,1,2,0,4,4,0,0.0,0.11538461538461539,0.34615384615384615,0.5384615384615384,0.07692307692307693,1.0,,7.737335969873217,0.0,0.0,0.0,8.369059332027339,0.2727272727272727
Simon Zoller,351,14,62,147,142,38,13,5,8,1,0,0,105,2,8,3,750.5418509095454,61,523.7792562122468,8,2,18,1,2,6,10,2,44,40,0,351,14,62,147,142,38,13,5,8,1,0,0,105,2,8,3,750.5418509095454,61,523.7792562122468,8,2,18,1,2,6,10,2,44,40,0,0.039886039886039885,0.17663817663817663,0.4188034188034188,0.4045584045584046,0.10826210826210826,0.9090909090909091,0.38461538461538464,7.148017627709955,0.01904761904761905,0.0761904761904762,0.02857142857142857,8.586545183807324,0.17142857142857143
Slobodan Medojević,170,9,42,99,29,9,4,4,0,0,0,1,56,4,0,0,345.9731696817625,41,281.83111984007627,0,0,4,0,2,1,1,0,19,17,0,170,9,42,99,29,9,4,4,0,0,0,1,56,4,0,0,345.9731696817625,41,281.83111984007627,0,0,4,0,2,1,1,0,19,17,0,0.052941176470588235,0.24705882352941178,0.5823529411764706,0.17058823529411765,0.052941176470588235,0.8947368421052632,1.0,6.178092315745759,0.07142857142857142,0.0,0.0,6.873929752196982,0.07142857142857142
Slobodan Rajković,217,65,148,59,10,8,2,2,0,0,0,0,40,0,0,0,294.88043162083306,17,99.32960652926471,0,0,1,0,0,1,0,0,3,3,0,217,65,148,59,10,8,2,2,0,0,0,0,40,0,0,0,294.88043162083306,17,99.32960652926471,0,0,1,0,0,1,0,0,3,3,0,0.2995391705069124,0.6820276497695853,0.271889400921659,0.04608294930875576,0.03686635944700461,1.0,1.0,7.372010790520827,0.0,0.0,0.0,5.842918031133218,0.025
Sokratis Papastathopoulos,666,70,323,309,34,16,8,7,1,0,0,0,195,10,1,0,1760.2830089664055,111,1214.6922215334505,6,2,10,0,3,5,2,0,19,17,0,666,70,323,309,34,16,8,7,1,0,0,0,195,10,1,0,1760.2830089664055,111,1214.6922215334505,6,2,10,0,3,5,2,0,19,17,0,0.10510510510510511,0.484984984984985,0.46396396396396394,0.05105105105105105,0.024024024024024024,0.8947368421052632,0.875,9.027092353673874,0.05128205128205128,0.005128205128205128,0.0,10.943173166968023,0.05128205128205128
Sonny Kittel,149,1,16,91,42,1,6,3,3,2,1,0,57,4,2,0,331.41866898240437,24,201.9208288783222,2,0,3,0,0,3,0,0,19,18,0,149,1,16,91,42,1,6,3,3,2,1,0,57,4,2,0,331.41866898240437,24,201.9208288783222,2,0,3,0,0,3,0,0,19,18,0,0.006711409395973154,0.10738255033557047,0.610738255033557,0.28187919463087246,0.006711409395973154,0.9473684210526315,0.5,5.814362613726392,0.07017543859649122,0.03508771929824561,0.0,8.413367869930092,0.05263157894736842
Stefan Aigner,1060,18,123,477,460,83,48,18,30,1,5,0,359,14,11,0,1962.6002960314786,192,1236.132467201907,24,6,44,1,3,20,21,5,141,134,0,1060,18,123,477,460,83,48,18,30,1,5,0,359,14,11,0,1962.6002960314786,192,1236.132467201907,24,6,44,1,3,20,21,5,141,134,0,0.016981132075471698,0.1160377358490566,0.45,0.4339622641509434,0.07830188679245283,0.950354609929078,0.375,5.466853192288241,0.03899721448467967,0.03064066852367688,0.0,6.438189933343266,0.12256267409470752
Stefan Bell,917,157,557,304,56,34,13,10,3,0,0,0,292,3,0,1,2542.782747231604,185,1872.0275453885151,2,0,7,1,2,3,2,1,22,21,0,917,157,557,304,56,34,13,10,3,0,0,0,292,3,0,1,2542.782747231604,185,1872.0275453885151,2,0,7,1,2,3,2,1,22,21,0,0.17121046892039257,0.6074154852780806,0.33151581243184297,0.061068702290076333,0.03707742639040349,0.9545454545454546,0.7692307692307693,8.708160093258918,0.010273972602739725,0.0,0.003424657534246575,10.119067812910892,0.023972602739726026
Stefan Kießling,1173,24,103,539,531,107,42,15,27,7,5,0,299,11,8,4,1464.1239827312438,161,937.8397031131475,35,20,48,0,4,19,25,5,133,127,0,1173,24,103,539,531,107,42,15,27,7,5,0,299,11,8,4,1464.1239827312438,161,937.8397031131475,35,20,48,0,4,19,25,5,133,127,0,0.020460358056265986,0.08780903665814152,0.4595055413469736,0.45268542199488493,0.09121909633418585,0.9548872180451128,0.35714285714285715,4.89673572819814,0.03678929765886288,0.026755852842809364,0.013377926421404682,5.825091323684146,0.1605351170568562
Stefan Lex,298,2,30,98,170,26,7,2,5,0,1,1,78,4,7,1,487.6895081799455,58,434.73173966771276,7,1,25,0,0,5,20,3,49,46,0,298,2,30,98,170,26,7,2,5,0,1,1,78,4,7,1,487.6895081799455,58,434.73173966771276,7,1,25,0,0,5,20,3,49,46,0,0.006711409395973154,0.10067114093959731,0.3288590604026846,0.5704697986577181,0.087248322147651,0.9387755102040817,0.2857142857142857,6.252429592050583,0.05128205128205128,0.08974358974358974,0.01282051282051282,7.495374821857117,0.32051282051282054
Stefan Reinartz,567,17,143,360,64,8,6,4,2,0,3,0,213,9,0,0,1129.345278849327,128,828.9776921503615,0,0,16,0,1,12,3,0,47,44,0,567,17,143,360,64,8,6,4,2,0,3,0,213,9,0,0,1129.345278849327,128,828.9776921503615,0,0,16,0,1,12,3,0,47,44,0,0.029982363315696647,0.25220458553791886,0.6349206349206349,0.1128747795414462,0.014109347442680775,0.9361702127659575,0.6666666666666666,5.3020905110297045,0.04225352112676056,0.0,0.0,6.476388219924699,0.07511737089201878
Stefan Wannenwetsch,8,0,0,5,3,0,0,0,0,0,0,0,4,0,0,0,19.94394163975891,3,15.981619088527117,0,0,0,0,0,0,0,0,1,1,0,8,0,0,5,3,0,0,0,0,0,0,0,4,0,0,0,19.94394163975891,3,15.981619088527117,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.625,0.375,0.0,1.0,,4.985985409939728,0.0,0.0,0.0,5.3272063628423725,0.0
Steven Zuber,306,2,55,107,144,16,22,10,12,2,3,0,117,8,3,2,749.0304622717176,70,574.5754035103747,2,0,15,0,3,2,10,0,35,34,0,306,2,55,107,144,16,22,10,12,2,3,0,117,8,3,2,749.0304622717176,70,574.5754035103747,2,0,15,0,3,2,10,0,35,34,0,0.006535947712418301,0.17973856209150327,0.34967320261437906,0.47058823529411764,0.05228758169934641,0.9714285714285714,0.45454545454545453,6.401969763006133,0.06837606837606838,0.02564102564102564,0.017094017094017096,8.20822005014821,0.1282051282051282
Suat Serdar,135,2,19,84,32,7,6,5,1,0,0,0,55,0,0,0,272.6460307611804,27,171.27294325937726,2,0,4,0,1,2,1,0,13,13,0,135,2,19,84,32,7,6,5,1,0,0,0,55,0,0,0,272.6460307611804,27,171.27294325937726,2,0,4,0,1,2,1,0,13,13,0,0.014814814814814815,0.14074074074074075,0.6222222222222222,0.23703703703703705,0.05185185185185185,1.0,0.8333333333333334,4.957200559294189,0.0,0.0,0.0,6.343442342939898,0.07272727272727272
Sven Bender,464,61,200,218,46,15,9,7,2,0,0,0,153,6,0,0,943.6644667995625,97,677.2457363548522,1,0,7,1,1,4,2,0,22,21,0,464,61,200,218,46,15,9,7,2,0,0,0,153,6,0,0,943.6644667995625,97,677.2457363548522,1,0,7,1,1,4,2,0,22,21,0,0.1314655172413793,0.43103448275862066,0.4698275862068966,0.09913793103448276,0.032327586206896554,0.9545454545454546,0.7777777777777778,6.167741613069036,0.0392156862745098,0.0,0.0,6.9819148077819815,0.0457516339869281
