ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%
0,0,0,0,0,7,1,4,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.5,0.5,0.0,1.0,0.0,0.0,,,
13,12,0,0,1,105,8,42,55,30,0,9,21,6,0,0,0,6,0,1,0,1,7,4,1,3,3,4,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0.9230769230769231,0.0761904761904762,0.4,0.5238095238095238,0.0,0.3,0.7,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.25,0.25,0.5
28,26,0,0,2,73,49,21,3,22,11,10,1,11,0,1,1,11,0,28,11,7,10,5,8,2,0,6,3,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0.9285714285714286,0.6712328767123288,0.2876712328767123,0.0410958904109589,0.5,0.45454545454545453,0.045454545454545456,0.5,0.8,0.2,0.0,0.5,0.3333333333333333,0.16666666666666666
55,51,0,0,4,234,147,84,3,84,26,57,1,49,1,2,2,49,0,108,48,6,36,18,23,13,0,18,6,7,5,1,0,0,3,0,0,0,0,0,0,3,0,0.9272727272727272,0.6282051282051282,0.358974358974359,0.01282051282051282,0.30952380952380953,0.6785714285714286,0.011904761904761904,0.5,0.6388888888888888,0.3611111111111111,0.0,0.3333333333333333,0.3888888888888889,0.2777777777777778
148,148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,
72,60,1,1,12,535,43,261,231,126,4,36,86,43,5,0,0,43,0,4,2,3,15,10,5,5,5,36,2,14,20,2,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,0.08037383177570094,0.48785046728971965,0.43177570093457945,0.031746031746031744,0.2857142857142857,0.6825396825396826,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05555555555555555,0.3888888888888889,0.5555555555555556
28,26,0,0,2,101,48,38,15,38,9,15,14,15,0,0,0,15,0,10,6,9,18,11,9,6,3,13,5,5,3,0,0,0,3,0,0,1,1,0,0,4,0,0.9285714285714286,0.4752475247524752,0.37623762376237624,0.1485148514851485,0.23684210526315788,0.39473684210526316,0.3684210526315789,0.6111111111111112,0.5,0.3333333333333333,0.16666666666666666,0.38461538461538464,0.38461538461538464,0.23076923076923078
43,39,0,0,4,177,65,84,28,84,7,44,33,31,0,1,1,31,1,35,22,10,20,9,12,4,4,17,2,10,5,1,1,0,5,0,0,2,1,1,0,7,0,0.9069767441860465,0.3672316384180791,0.4745762711864407,0.15819209039548024,0.08333333333333333,0.5238095238095238,0.39285714285714285,0.45,0.6,0.2,0.2,0.11764705882352941,0.5882352941176471,0.29411764705882354
86,80,0,0,6,283,78,122,83,92,13,37,42,33,0,0,0,33,0,15,4,9,18,12,8,7,3,19,3,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0.9302325581395349,0.2756183745583039,0.43109540636042404,0.29328621908127206,0.14130434782608695,0.40217391304347827,0.45652173913043476,0.6666666666666666,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.15789473684210525,0.47368421052631576,0.3684210526315789
63,52,0,0,11,307,132,127,48,114,12,58,44,50,1,0,0,50,0,37,22,13,48,15,23,22,3,25,6,16,3,0,0,0,3,0,0,1,1,0,0,4,0,0.8253968253968254,0.42996742671009774,0.41368078175895767,0.1563517915309446,0.10526315789473684,0.5087719298245614,0.38596491228070173,0.3125,0.4791666666666667,0.4583333333333333,0.0625,0.24,0.64,0.12
12,12,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,,,,,,,,,,
92,89,0,0,3,500,228,236,36,174,35,111,28,70,0,2,2,70,0,65,32,19,69,36,33,34,2,46,5,38,3,0,0,0,5,0,0,0,0,0,0,5,0,0.967391304347826,0.456,0.472,0.072,0.20114942528735633,0.6379310344827587,0.16091954022988506,0.5217391304347826,0.4782608695652174,0.4927536231884058,0.028985507246376812,0.10869565217391304,0.8260869565217391,0.06521739130434782
28,25,0,0,3,97,35,41,21,37,3,16,18,17,0,0,0,17,0,8,2,5,7,5,4,3,0,10,2,3,5,0,0,1,1,0,0,1,1,0,0,2,0,0.8928571428571429,0.36082474226804123,0.422680412371134,0.21649484536082475,0.08108108108108109,0.43243243243243246,0.4864864864864865,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.0,0.2,0.3,0.5
55,50,1,0,5,99,44,40,15,38,4,16,18,17,1,0,0,17,0,26,15,9,12,8,4,6,2,8,3,3,2,0,0,0,2,0,0,0,0,0,0,2,0,0.9090909090909091,0.4444444444444444,0.40404040404040403,0.15151515151515152,0.10526315789473684,0.42105263157894735,0.47368421052631576,0.6666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.375,0.375,0.25
86,79,0,0,7,280,107,137,36,95,18,53,24,24,0,0,0,24,0,16,9,11,28,17,19,7,2,17,6,10,1,0,0,0,2,0,0,0,0,0,0,2,0,0.9186046511627907,0.3821428571428571,0.48928571428571427,0.12857142857142856,0.18947368421052632,0.5578947368421052,0.25263157894736843,0.6071428571428571,0.6785714285714286,0.25,0.07142857142857142,0.35294117647058826,0.5882352941176471,0.058823529411764705
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,
0,0,0,0,0,21,0,11,10,3,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,,0.0,0.5238095238095238,0.47619047619047616,0.0,0.3333333333333333,0.6666666666666666,,,,,0.0,0.5,0.5
54,45,0,0,9,176,118,54,4,59,16,41,2,22,0,1,1,22,0,122,69,13,31,17,22,9,0,28,8,18,2,0,1,0,6,1,0,0,0,0,0,6,0,0.8333333333333334,0.6704545454545454,0.3068181818181818,0.022727272727272728,0.2711864406779661,0.6949152542372882,0.03389830508474576,0.5483870967741935,0.7096774193548387,0.2903225806451613,0.0,0.2857142857142857,0.6428571428571429,0.07142857142857142
29,28,0,0,1,90,43,42,5,48,6,34,8,22,1,1,1,22,0,47,26,7,23,11,10,13,0,8,2,5,1,0,0,0,2,0,0,0,0,0,0,2,0,0.9655172413793104,0.4777777777777778,0.4666666666666667,0.05555555555555555,0.125,0.7083333333333334,0.16666666666666666,0.4782608695652174,0.43478260869565216,0.5652173913043478,0.0,0.25,0.625,0.125
31,27,0,0,4,185,42,97,46,52,2,25,25,21,1,1,1,21,0,6,3,1,13,2,9,2,2,15,2,9,4,0,0,2,1,0,0,0,0,0,0,1,0,0.8709677419354839,0.22702702702702704,0.5243243243243243,0.24864864864864866,0.038461538461538464,0.4807692307692308,0.4807692307692308,0.15384615384615385,0.6923076923076923,0.15384615384615385,0.15384615384615385,0.13333333333333333,0.6,0.26666666666666666
139,129,1,1,10,358,162,134,62,147,24,78,45,70,0,1,1,70,1,71,35,14,54,24,33,21,0,41,13,19,9,1,1,0,6,0,0,1,1,0,0,7,0,0.9280575539568345,0.45251396648044695,0.3743016759776536,0.17318435754189945,0.16326530612244897,0.5306122448979592,0.30612244897959184,0.4444444444444444,0.6111111111111112,0.3888888888888889,0.0,0.3170731707317073,0.4634146341463415,0.21951219512195122
46,41,0,0,5,127,52,54,21,31,4,20,7,14,0,0,0,14,0,14,11,1,15,10,6,9,0,22,6,13,3,0,1,0,3,0,0,0,0,0,0,3,0,0.8913043478260869,0.4094488188976378,0.4251968503937008,0.16535433070866143,0.12903225806451613,0.6451612903225806,0.22580645161290322,0.6666666666666666,0.4,0.6,0.0,0.2727272727272727,0.5909090909090909,0.13636363636363635
45,36,0,0,9,293,99,132,62,75,7,37,31,26,0,0,0,26,0,5,3,5,17,10,6,7,4,31,6,16,9,1,0,0,2,0,0,0,0,0,0,2,0,0.8,0.3378839590443686,0.45051194539249145,0.21160409556313994,0.09333333333333334,0.49333333333333335,0.41333333333333333,0.5882352941176471,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.1935483870967742,0.5161290322580645,0.2903225806451613
14,13,0,0,1,56,7,24,25,20,1,5,14,1,0,0,0,1,0,0,0,1,2,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9285714285714286,0.125,0.42857142857142855,0.44642857142857145,0.05,0.25,0.7,0.5,0.0,0.5,0.5,0.0,0.0,1.0
66,58,0,0,8,412,36,224,152,108,3,45,60,24,2,2,2,24,0,14,12,5,13,11,0,7,6,48,0,32,16,2,0,0,4,0,1,1,1,0,0,5,1,0.8787878787878788,0.08737864077669903,0.5436893203883495,0.36893203883495146,0.027777777777777776,0.4166666666666667,0.5555555555555556,0.8461538461538461,0.0,0.5384615384615384,0.46153846153846156,0.0,0.6666666666666666,0.3333333333333333
150,135,0,0,15,513,132,280,101,198,22,107,69,47,0,0,0,47,0,34,18,13,40,23,21,16,3,64,10,38,16,1,0,0,6,0,0,0,0,0,0,6,0,0.9,0.2573099415204678,0.5458089668615984,0.1968810916179337,0.1111111111111111,0.5404040404040404,0.3484848484848485,0.575,0.525,0.4,0.075,0.15625,0.59375,0.25
12,10,0,0,2,62,20,35,7,24,0,15,9,8,1,0,0,8,0,5,1,5,5,2,1,3,1,9,1,5,3,0,0,0,2,0,0,0,0,0,0,2,0,0.8333333333333334,0.3225806451612903,0.5645161290322581,0.11290322580645161,0.0,0.625,0.375,0.4,0.2,0.6,0.2,0.1111111111111111,0.5555555555555556,0.3333333333333333
7,6,0,0,1,33,10,11,12,8,1,1,6,0,0,0,0,0,0,0,0,0,2,2,1,1,0,5,0,3,2,1,0,0,1,0,0,0,0,0,0,1,0,0.8571428571428571,0.30303030303030304,0.3333333333333333,0.36363636363636365,0.125,0.125,0.75,1.0,0.5,0.5,0.0,0.0,0.6,0.4
