index,UMAP 1,UMAP 2,new_position,role,position_level_1
4243.0,5.7976227,2.053305,Midfielder,Right Wing,Winger
9985.0,5.65707,18.66503,Goalkeeper,Goalkeeper,Goalkeeper
22702.0,3.6568696,-0.52430415,Forward,Left Wing,Winger
20527.0,12.100771,1.8527693,Defender,Left Back,Offensive Defender
3380.0,0.018791255,1.7742889,Forward,Right Wing,Winger
10931.0,4.7761436,4.448838,Midfielder,Left Midfield,Central Midfielder
11992.0,6.810823,3.5465126,Midfielder,Right Defensive Midfield,Defensive Midfielder
3635.0,3.239825,0.12272057,Forward,Right Defensive Midfield,Defensive Midfielder
13448.0,0.010448883,7.2162848,Defender,Left Back,Offensive Defender
13200.0,3.54497,1.1151391,Midfielder,Left Midfield,Central Midfielder
4053.0,4.897581,18.686075,Goalkeeper,Goalkeeper,Goalkeeper
9628.0,2.3552902,6.704252,Defender,Left Back,Offensive Defender
3532.0,5.092593,1.5299981,Midfielder,Left Defensive Midfield,Defensive Midfielder
3654.0,0.5454419,2.3494344,Forward,Right Center Forward,Striker
4129.0,0.90660304,2.1587574,Forward,Right Wing,Winger
4762.0,3.568444,-0.8087145,Forward,Right Wing,Winger
3479.0,4.4140196,4.724129,Forward,Left Wing,Winger
3094.0,0.9732571,2.66993,Midfielder,Right Wing,Winger
10955.0,1.0557765,2.7136104,Forward,Center Forward,Striker
3611.0,12.652085,1.2558618,Defender,Left Center Back,Regular Defender
3099.0,3.4258769,18.473934,Goalkeeper,Goalkeeper,Goalkeeper
3205.0,6.1806307,-3.1091383,Defender,Right Back,Offensive Defender
10956.0,6.350789,2.8851779,Midfielder,Left Center Back,Regular Defender
3585.0,2.2089753,1.087882,Forward,Right Attacking Midfield,Offensive Midfielder
3594.0,-0.04443267,8.16714,Defender,Left Back,Offensive Defender
3043.0,2.5661864,3.4361916,Forward,Left Attacking Midfield,Offensive Midfielder
3037.0,4.979718,3.7894168,Midfielder,Right Defensive Midfield,Defensive Midfielder
20005.0,12.753885,5.1725993,Defender,Right Center Back,Regular Defender
4416.0,0.9861295,5.5971932,Midfielder,Right Midfield,Central Midfielder
13248.0,4.7459655,3.1849895,Midfielder,Left Center Midfield,Central Midfielder
3310.0,3.8905957,2.5781345,Midfielder,Right Center Midfield,Central Midfielder
40127.0,4.4929585,4.7256656,Midfielder,Left Center Midfield,Central Midfielder
4831.0,1.5350069,3.6122563,Forward,Right Defensive Midfield,Defensive Midfielder
3054.0,5.3285856,3.7370675,Midfielder,Left Center Back,Regular Defender
3090.0,12.108836,4.6062436,Defender,Right Center Back,Regular Defender
7110.0,5.9687796,-3.8157744,Defender,Left Back,Offensive Defender
3237.0,0.25960726,2.086845,Forward,Center Forward,Striker
3064.0,2.1382766,2.8238146,Midfielder,Left Wing,Winger
3087.0,5.2902203,3.6649747,Midfielder,Center Attacking Midfield,Offensive Midfielder
3389.0,11.76471,1.1213768,Defender,Left Center Back,Regular Defender
5596.0,0.12914208,7.142763,Defender,Center Attacking Midfield,Offensive Midfielder
20230.0,5.256094,3.5783792,Midfielder,Left Center Midfield,Central Midfielder
3233.0,0.865008,5.118871,Forward,Center Forward,Striker
3291.0,4.742326,18.621893,Goalkeeper,Goalkeeper,Goalkeeper
3598.0,0.61431867,1.2701734,Defender,Left Center Back,Regular Defender
6821.0,3.716137,-1.3134214,Forward,Left Center Midfield,Central Midfielder
3665.0,4.1739116,3.1361415,Midfielder,Right Midfield,Central Midfielder
3708.0,1.117239,0.94188243,Forward,Center Attacking Midfield,Offensive Midfielder
3589.0,1.2997912,4.485321,Forward,Right Center Forward,Striker
3092.0,0.34154052,2.1652071,Forward,Center Attacking Midfield,Offensive Midfielder
19688.0,3.1994176,2.3949351,Midfielder,Right Defensive Midfield,Defensive Midfielder
4629.0,12.283817,1.405961,Defender,Right Attacking Midfield,Offensive Midfielder
4589.0,5.7589946,-3.3342443,Defender,Right Midfield,Central Midfielder
3633.0,6.2274027,3.946151,Forward,Right Center Forward,Striker
26696.0,1.6912246,2.7903244,Forward,Left Back,Offensive Defender
16309.0,5.7449503,18.756649,Goalkeeper,Goalkeeper,Goalkeeper
5836.0,2.3501935,6.6764326,Defender,Right Wing,Winger
3469.0,1.434828,4.48051,Forward,Left Midfield,Central Midfielder
4317.0,1.4967734,3.686596,Forward,Left Center Midfield,Central Midfielder
9578.0,3.8174274,3.0224109,Midfielder,Right Defensive Midfield,Defensive Midfielder
3286.0,3.5370922,0.13067108,Midfielder,Left Center Midfield,Central Midfielder
9463.0,6.405278,2.7831745,Midfielder,Right Center Midfield,Central Midfielder
10499.0,5.0404506,-3.5074942,Defender,Right Center Back,Regular Defender
4807.0,1.136721,1.5379139,Forward,Left Center Forward,Striker
21212.0,7.068749,-2.6559343,Defender,Right Center Back,Regular Defender
3709.0,5.2458615,-3.3116202,Forward,Right Center Forward,Striker
9528.0,1.303698,3.243706,Midfielder,Center Defensive Midfield,Defensive Midfielder
9930.0,12.772569,5.3680215,Defender,Left Back,Offensive Defender
23635.0,4.3912687,18.489693,Goalkeeper,Goalkeeper,Goalkeeper
10967.0,0.7198255,6.538862,Defender,Left Wing Back,Offensive Defender
3520.0,1.4918344,5.6574883,Midfielder,Right Wing,Winger
22594.0,1.1962268,4.5348125,Midfielder,Right Wing,Winger
23663.0,1.1847094,1.541301,Forward,Right Center Back,Regular Defender
10457.0,1.1786666,1.3794713,Forward,Left Midfield,Central Midfielder
3448.0,5.617387,-1.7570722,Defender,Right Back,Offensive Defender
13846.0,5.9729056,3.1041143,Defender,Right Center Back,Regular Defender
16295.0,2.4786518,1.4084148,Midfielder,Right Wing,Winger
18751.0,4.8523927,4.315393,Forward,Right Center Midfield,Central Midfielder
3321.0,0.8476919,7.5851355,Defender,Left Back,Offensive Defender
9539.0,4.920573,19.057781,Goalkeeper,Goalkeeper,Goalkeeper
4817.0,4.8721967,4.2490563,Midfielder,Left Center Midfield,Central Midfielder
3576.0,0.71713513,7.6291265,Defender,Left Back,Offensive Defender
