player,player_id,country,team,position,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents
Ryan Seager,4752.0,England,Southampton,nan,0.0,0.0,0.0,0.0,[],[],0.0
Sergi Canós Tenes,4762.0,Spain,Liverpool,Forward,0.0,0.0,0.0,0.0,['Right Wing'],['Right Wing'],0.0
Neal Maupay,4766.0,France,Saint-Étienne,Forward,9.0,470.0,4.0,4.0,"['Center Forward', 'Right Wing', 'Right Center Forward', 'Left Wing', 'Left Center Forward']","['Center Forward', 'Center Forward', 'Right Wing', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Right Wing', 'Center Forward', 'Left Wing', 'Center Forward', 'Center Forward', 'Center Forward', 'Right Wing', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Right Wing', 'Right Center Forward', 'Right Wing', 'Right Center Forward', 'Center Forward']",5.222222222222222
Enock Kwateng,4776.0,France,Nantes,Defender,0.0,0.0,0.0,0.0,"['Right Back', 'Left Back']","['Left Back', 'Right Back', 'Left Back', 'Right Back']",0.0
Jesús Gámez Duarte,4788.0,Spain,Atlético Madrid,Defender,7.0,630.0,0.0,0.0,"['Right Defensive Midfield', 'Right Back', 'Right Midfield', 'Left Back', 'Left Center Forward']","['Right Back', 'Right Back', 'Left Back', 'Left Back', 'Right Back', 'Right Back', 'Left Back', 'Right Back', 'Left Center Forward', 'Right Midfield', 'Left Back', 'Right Defensive Midfield', 'Left Back']",7.0
Sloan Privat,4799.0,French Guiana,Guingamp,Forward,25.0,1294.0,11.0,11.0,"['Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Center Forward', 'Left Midfield', 'Left Wing', 'Left Center Forward']","['Right Center Forward', 'Left Midfield', 'Right Center Forward', 'Left Midfield', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Wing', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Midfield', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Center Forward', 'Right Center Midfield', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Midfield', 'Right Center Forward']",14.377777777777778
Florentin Pogba,4802.0,Guinea,Saint-Étienne,Defender,22.0,1809.0,2.0,2.0,"['Right Back', 'Left Center Back', 'Right Center Back', 'Center Back']","['Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back']",20.1
Mathieu Gorgelin,4803.0,France,Lyon,Goalkeeper,1.0,90.0,0.0,0.0,['Goalkeeper'],['Goalkeeper'],1.0
Bradley Johnson,4804.0,England,Norwich City,Midfielder,1.0,90.0,0.0,0.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Left Wing', 'Left Midfield']","['Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Center Midfield', 'Left Midfield', 'Left Midfield']",1.0
Cameron Jerome,4807.0,England,Norwich City,Forward,32.0,1768.0,13.0,13.0,"['Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Left Midfield', 'Left Wing', 'Left Back', 'Right Center Midfield', 'Left Center Forward']","['Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Back', 'Left Wing', 'Right Center Midfield', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Midfield', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Left Midfield', 'Center Attacking Midfield']",19.644444444444446
Andre Wisdom,4808.0,England,Norwich City,Defender,10.0,813.0,1.0,1.0,"['Right Back', 'Center Attacking Midfield']","['Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Center Attacking Midfield', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back']",9.033333333333333
Matěj Vydra,4809.0,Czech Republic,Watford,nan,0.0,0.0,0.0,0.0,[],[],0.0
Joe Ledley,4817.0,Wales,Crystal Palace,Midfielder,19.0,1108.0,7.0,7.0,"['Center Attacking Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Wing', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']","['Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Wing', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']",12.311111111111112
Baily Cargill,4822.0,England,AFC Bournemouth,nan,0.0,0.0,0.0,0.0,[],[],0.0
Milan Gajić,4823.0,Serbia,Bordeaux,Defender,11.0,643.0,4.0,4.0,"['Right Wing Back', 'Right Back', 'Right Defensive Midfield']","['Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Wing Back', 'Right Back', 'Right Wing Back', 'Right Back', 'Right Defensive Midfield', 'Right Back', 'Right Back']",7.144444444444445
Yohan Benalouane,4826.0,Tunisia,Leicester City,Defender,0.0,0.0,0.0,0.0,['Right Back'],"['Right Back', 'Right Back', 'Right Back', 'Right Back']",0.0
Adlène Guédioura,4828.0,Algeria,Watford,Midfielder,5.0,276.0,2.0,2.0,"['Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Wing', 'Right Center Forward', 'Right Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward']","['Left Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Wing', 'Right Wing', 'Left Midfield', 'Left Midfield', 'Center Forward', 'Left Wing', 'Right Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Right Midfield', 'Right Midfield', 'Right Midfield', 'Right Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Right Defensive Midfield', 'Left Midfield']",3.066666666666667
Nacer Chadli,4831.0,Belgium,Tottenham Hotspur,Forward,15.0,920.0,5.0,5.0,"['Center Forward', 'Center Attacking Midfield', 'Right Center Back', 'Right Defensive Midfield', 'Right Wing Back', 'Right Wing', 'Right Back', 'Left Center Midfield', 'Left Wing', 'Left Defensive Midfield']","['Right Defensive Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Defensive Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Attacking Midfield', 'Center Forward', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Defensive Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Center Back', 'Right Wing Back', 'Left Center Midfield', 'Center Attacking Midfield', 'Center Forward', 'Left Center Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Back', 'Right Defensive Midfield', 'Right Wing', 'Left Wing', 'Right Wing']",10.222222222222221
Josh Cullen,4837.0,Ireland,West Ham United,Forward,0.0,0.0,0.0,0.0,['Center Forward'],['Center Forward'],0.0
Issam Ben Khémis,4839.0,France,Lorient,Midfielder,0.0,0.0,0.0,0.0,['Left Center Midfield'],['Left Center Midfield'],0.0
Massadio Haïdara,4840.0,Mali,Newcastle United,Defender,7.0,544.0,1.0,1.0,['Left Back'],"['Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",6.044444444444444
Pape N''Diaye Souaré,4884.0,Senegal,Crystal Palace,Defender,35.0,3063.0,1.0,1.0,['Left Back'],"['Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",34.03333333333333
Ibrahim Afellay,4891.0,Netherlands,Stoke City,Midfielder,34.0,2196.0,10.0,10.0,"['Center Attacking Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Center Midfield', 'Right Center Midfield']","['Center Attacking Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Left Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield']",24.4
Sergio Germán Romero,4892.0,Argentina,Manchester United,Goalkeeper,4.0,360.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",4.0
Henri Bedimo Nsamè,4895.0,Cameroon,Lyon,Defender,17.0,1272.0,3.0,3.0,"['Left Center Back', 'Left Back', 'Left Wing Back']","['Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Wing Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",14.133333333333333
Paul-Georges Ntep de Madiba,4900.0,Cameroon,Rennes,Forward,19.0,1023.0,8.0,8.0,"['Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Left Midfield', 'Left Wing', 'Left Center Forward']","['Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Left Midfield', 'Left Wing', 'Center Forward', 'Center Forward', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Center Forward', 'Center Forward', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Left Center Forward', 'Left Center Forward', 'Left Wing', 'Left Center Forward', 'Right Wing', 'Left Wing', 'Left Center Forward']",11.366666666666667
Kevin Rimane,4902.0,French Guiana,Paris Saint-Germain,Defender,0.0,0.0,0.0,0.0,['Right Center Back'],['Right Center Back'],0.0
Arnold Bouka Moutou,4906.0,Congo (Brazzaville),Angers,Midfielder,16.0,1093.0,4.0,4.0,"['Center Forward', 'Left Back', 'Center Attacking Midfield', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Center Midfield']","['Left Midfield', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Left Wing', 'Left Center Midfield', 'Left Midfield', 'Center Forward', 'Left Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Wing', 'Left Wing']",12.144444444444444
Jérémie Porsan-Clemente,4908.0,France,Marseille,Forward,0.0,0.0,0.0,0.0,"['Center Attacking Midfield', 'Right Wing']","['Center Attacking Midfield', 'Right Wing']",0.0
Jeremie Boga,4909.0,Côte d'Ivoire,Rennes,Forward,8.0,547.0,2.0,2.0,"['Center Forward', 'Center Attacking Midfield', 'Center Defensive Midfield', 'Left Wing Back', 'Right Wing Back', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Right Center Midfield']","['Right Wing', 'Right Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Forward', 'Right Midfield', 'Left Wing', 'Right Wing Back', 'Left Wing', 'Center Defensive Midfield', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Left Midfield', 'Left Wing', 'Center Forward', 'Left Wing Back', 'Left Wing', 'Right Center Midfield', 'Right Center Midfield', 'Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Left Midfield', 'Center Forward', 'Left Midfield', 'Center Forward', 'Center Forward', 'Left Midfield', 'Center Forward', 'Right Midfield', 'Left Midfield', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Midfield', 'Center Attacking Midfield', 'Left Wing', 'Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Right Wing']",6.0777777777777775
Axel Tuanzebe,4910.0,England,Manchester United,nan,0.0,0.0,0.0,0.0,[],[],0.0
Bojan Krkíc Pérez,4913.0,Spain,Stoke City,Midfielder,39.0,2046.0,17.0,17.0,"['Center Forward', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Right Wing', 'Right Midfield', 'Right Center Midfield']","['Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Center Forward', 'Center Forward', 'Right Wing', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield']",22.733333333333334
Francisco Román Alarcón Suárez,4926.0,Spain,Real Madrid,Midfielder,34.0,1928.0,13.0,13.0,"['Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Left Center Midfield', 'Right Center Midfield']","['Left Center Midfield', 'Right Center Midfield', 'Center Forward', 'Left Center Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Forward', 'Left Center Midfield', 'Right Wing', 'Center Forward', 'Right Center Midfield', 'Right Wing', 'Left Center Midfield', 'Left Center Midfield', 'Center Forward', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Center Midfield', 'Right Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Center Attacking Midfield']",21.42222222222222
Glyn Oliver Myhill,5108.0,Wales,West Bromwich Albion,Goalkeeper,23.0,2070.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",23.0
Paulo Dino Gazzaniga,5109.0,Argentina,Southampton,Goalkeeper,2.0,180.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper']",2.0
Henri Saivet,5110.0,Senegal,Bordeaux,Midfielder,25.0,1818.0,5.0,5.0,"['Center Attacking Midfield', 'Left Back', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Back', 'Right Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']","['Center Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Back', 'Left Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Left Wing', 'Center Defensive Midfield', 'Right Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Back', 'Right Defensive Midfield', 'Left Defensive Midfield']",20.2
Denis Cheryshev,5186.0,Russia,Valencia,Forward,11.0,556.0,5.0,5.0,"['Center Forward', 'Center Attacking Midfield', 'Left Wing Back', 'Right Midfield', 'Left Midfield', 'Left Wing']","['Left Wing', 'Left Wing', 'Left Wing', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Left Wing', 'Left Wing Back', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing']",6.177777777777778
Diego da Silva Costa,5198.0,Spain,Chelsea,Forward,33.0,2461.0,6.0,6.0,"['Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Forward']","['Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward']",27.344444444444445
Jorge Resurrección Merodio,5199.0,Spain,Atlético Madrid,Midfielder,40.0,3080.0,6.0,6.0,"['Center Attacking Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']","['Left Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Right Wing', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Left Center Midfield', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Midfield', 'Right Wing', 'Right Center Midfield', 'Right Center Midfield', 'Left Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Left Wing', 'Left Center Midfield', 'Left Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Left Wing', 'Right Wing', 'Left Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Left Center Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Wing', 'Left Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Midfield']",34.22222222222222
Lucas Vázquez Iglesias,5200.0,Spain,Real Madrid,Forward,13.0,911.0,3.0,3.0,"['Center Forward', 'Right Wing', 'Right Back', 'Right Midfield', 'Right Attacking Midfield', 'Left Wing', 'Left Back', 'Right Center Midfield']","['Right Wing', 'Center Forward', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Back', 'Right Midfield', 'Right Wing', 'Right Back', 'Right Center Midfield', 'Left Wing', 'Right Back', 'Left Back', 'Right Wing', 'Right Back', 'Right Wing', 'Right Wing', 'Right Wing', 'Center Forward', 'Left Wing', 'Left Wing', 'Right Wing', 'Right Attacking Midfield', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Center Forward', 'Right Midfield', 'Center Forward', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Center Forward', 'Right Wing', 'Right Wing']",10.122222222222222
Sergio Ramos García,5201.0,Spain,Real Madrid,Defender,26.0,2074.0,3.0,3.0,"['Left Center Back', 'Right Center Back', 'Center Defensive Midfield', 'Center Back']","['Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Center Defensive Midfield', 'Left Center Back']",23.044444444444444
José Ignacio Fernández Iglesias,5202.0,Spain,Real Madrid,Defender,12.0,1080.0,0.0,0.0,"['Right Center Back', 'Left Center Back', 'Right Back', 'Left Back', 'Right Center Midfield']","['Right Back', 'Left Center Back', 'Left Back', 'Right Center Back', 'Right Back', 'Left Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Center Back', 'Right Back', 'Left Center Back', 'Right Center Midfield', 'Left Center Back', 'Left Center Back']",12.0
Sergio Busquets i Burgos,5203.0,Spain,Barcelona,Midfielder,44.0,3079.0,10.0,10.0,"['Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Defensive Midfield']","['Center Defensive Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield']",34.21111111111111
Bruno Miguel Borges Fernandes,5204.0,Portugal,Udinese,Midfielder,37.0,2206.0,13.0,13.0,"['Center Attacking Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Wing Back', 'Right Wing', 'Right Center Forward', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Center Midfield', 'Right Center Midfield']","['Right Wing', 'Left Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Wing', 'Right Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Wing Back', 'Left Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Left Center Midfield']",24.511111111111113
Cristiano Ronaldo dos Santos Aveiro,5207.0,Portugal,Real Madrid,Forward,38.0,3245.0,2.0,2.0,"['Center Forward', 'Left Wing', 'Right Center Forward', 'Left Center Forward']","['Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Center Forward', 'Left Wing', 'Right Center Forward', 'Left Wing', 'Left Wing', 'Left Center Forward', 'Center Forward', 'Left Wing', 'Center Forward', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Left Wing', 'Left Center Forward', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Center Forward', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Wing', 'Center Forward', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Center Forward', 'Left Wing', 'Center Forward', 'Left Wing', 'Left Wing', 'Left Wing']",36.05555555555556
