Model,Accuracy (mean),Accuracy (std),Precision_macro (mean),Precision_macro (std),Recall_macro (mean),Recall_macro (std),F1_macro (mean),F1_macro (std)
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.01, 'clf__max_depth': 8, 'clf__n_estimators': 500, 'clf__num_leaves': 31, 'clf__reg_alpha': 1.0}",0.9064337716575428,0.01380185956942567,0.9200132798815364,0.014314289166123956,0.918295681472405,0.01043539714730419,0.9183155409953413,0.011813390690481504
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 1000, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0}",0.9064337716575427,0.01624973924798686,0.9186547148294089,0.016349371009550338,0.917762252516473,0.01441833625379067,0.9177061302653904,0.015063692582611945
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 500, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9064323607427054,0.014704538323042847,0.9187987271998113,0.014012517021217547,0.9180660966014994,0.012885243096980607,0.9178188982845876,0.013319994871957508
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 12, 'clf__n_estimators': 500, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9059060895084372,0.015619820719257403,0.9181033586997355,0.014746240859343979,0.9173663212207572,0.013362277261275524,0.9173914168103743,0.013850535281185095
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.05, 'clf__max_depth': 12, 'clf__n_estimators': 300, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0}",0.9059060895084372,0.016671257114804976,0.9166522559368007,0.015405707560097787,0.9184871452206668,0.014791947607564188,0.9172494995804348,0.01501069552946543
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 1000, 'clf__num_leaves': 127, 'clf__reg_alpha': 0.0}",0.9059046785936001,0.015629791700600186,0.9174455988786205,0.014047823291446474,0.9182461024792422,0.014398690726947097,0.9173675516388229,0.014042689979424542
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 16, 'clf__n_estimators': 1000, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0}",0.9059046785936001,0.012625781258546718,0.9183620970578916,0.01284837134088564,0.9175342714260413,0.011183325513332433,0.9174661791580359,0.01164195057670966
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 500, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.1}",0.9059046785936001,0.01262578125854669,0.9169221463234878,0.013408588294552898,0.9183148946982008,0.011204651168348102,0.917154222747486,0.011830266179386635
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 1000, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.1}",0.9059046785936001,0.01262578125854669,0.9169221463234878,0.013408588294552898,0.9183148946982008,0.011204651168348102,0.917154222747486,0.011830266179386635
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.1}",0.9059046785936001,0.01262578125854669,0.9169221463234878,0.013408588294552898,0.9183148946982008,0.011204651168348102,0.917154222747486,0.011830266179386635
